metro	var	percentile	cat	value
"Atlanta, GA"	Price Income Ratio	0.637	Affordability	3.032083467
"Atlanta, GA"	Cost Burdened Renters	0.364	Affordability	0.52175366
"Atlanta, GA"	Vacancy Rate	0.727	Affordability	0.0960122
"Atlanta, GA"	Job Growth	0.575	Job Availability	0.124512485
"Atlanta, GA"	Working Age Emp-Pop	0.515	Job Availability	0.770348652
"Atlanta, GA"	Start-Ups	0.878	Job Availability	0.224201583
"Atlanta, GA"	Quality of Life	0.262	Livability	-0.032
"Atlanta, GA"	Household Purchasing Power	0.656	Livability	58997.89916
"Atlanta, GA"	Housing Unit Growth	0.868	Policy	0.341463621
"Atlanta, GA"	Housing Cost Differential	0.374	Policy	0.014
"Augusta, GA-SC"	Price Income Ratio	0.738	Affordability	2.829360235
"Augusta, GA-SC"	Cost Burdened Renters	0.495	Affordability	0.510230722
"Augusta, GA-SC"	Vacancy Rate	1	Affordability	0.132782701
"Augusta, GA-SC"	Job Growth	0.494	Job Availability	0.086036738
"Augusta, GA-SC"	Working Age Emp-Pop	0.03	Job Availability	0.692754803
"Augusta, GA-SC"	Start-Ups	0.151	Job Availability	0.147482014
"Augusta, GA-SC"	Quality of Life	0.05	Livability	-0.057
"Augusta, GA-SC"	Household Purchasing Power	0.292	Livability	51934.37152
"Augusta, GA-SC"	Housing Unit Growth	0.535	Policy	0.189799871
"Augusta, GA-SC"	Housing Cost Differential	0.98	Policy	-0.294
"Austin, TX"	Price Income Ratio	0.425	Affordability	3.425939028
"Austin, TX"	Cost Burdened Renters	0.586	Affordability	0.502325306
"Austin, TX"	Vacancy Rate	0.282	Affordability	0.064277477
"Austin, TX"	Job Growth	0.969	Job Availability	0.390420537
"Austin, TX"	Working Age Emp-Pop	0.919	Job Availability	0.806769225
"Austin, TX"	Start-Ups	0.959	Job Availability	0.254592683
"Austin, TX"	Quality of Life	0.707	Livability	0.016
"Austin, TX"	Household Purchasing Power	0.868	Livability	64440.72948
"Austin, TX"	Housing Unit Growth	1	Policy	0.541878695
"Austin, TX"	Housing Cost Differential	0.263	Policy	0.067
"Bakersfield, CA"	Price Income Ratio	0.243	Affordability	3.843086223
"Bakersfield, CA"	Cost Burdened Renters	0.304	Affordability	0.528710268
"Bakersfield, CA"	Vacancy Rate	0.484	Affordability	0.081693079
"Bakersfield, CA"	Job Growth	0.949	Job Availability	0.325470976
"Bakersfield, CA"	Working Age Emp-Pop	0	Job Availability	0.651247346
"Bakersfield, CA"	Start-Ups	0.545	Job Availability	0.181788828
"Bakersfield, CA"	Quality of Life	0.03	Livability	-0.063
"Bakersfield, CA"	Household Purchasing Power	0.121	Livability	48765.60901
"Bakersfield, CA"	Housing Unit Growth	0.737	Policy	0.25869738
"Bakersfield, CA"	Housing Cost Differential	0.718	Policy	-0.132
"Baltimore, MD"	Price Income Ratio	0.223	Affordability	3.914630565
"Baltimore, MD"	Cost Burdened Renters	0.465	Affordability	0.510741687
"Baltimore, MD"	Vacancy Rate	0.686	Affordability	0.094459086
"Baltimore, MD"	Job Growth	0.515	Job Availability	0.096807975
"Baltimore, MD"	Working Age Emp-Pop	0.808	Job Availability	0.796586577
"Baltimore, MD"	Start-Ups	0.434	Job Availability	0.170145961
"Baltimore, MD"	Quality of Life	0.484	Livability	-0.013
"Baltimore, MD"	Household Purchasing Power	0.888	Livability	65717.83088
"Baltimore, MD"	Housing Unit Growth	0.242	Policy	0.097684644
"Baltimore, MD"	Housing Cost Differential	0.182	Policy	0.154
"Baton Rouge, LA"	Price Income Ratio	0.647	Affordability	3.023554933
"Baton Rouge, LA"	Cost Burdened Renters	0.475	Affordability	0.510661213
"Baton Rouge, LA"	Vacancy Rate	0.515	Affordability	0.083268025
"Baton Rouge, LA"	Job Growth	0.808	Job Availability	0.186341435
"Baton Rouge, LA"	Working Age Emp-Pop	0.424	Job Availability	0.76393904
"Baton Rouge, LA"	Start-Ups	0.333	Job Availability	0.162198693
"Baton Rouge, LA"	Quality of Life	0.292	Livability	-0.031
"Baton Rouge, LA"	Household Purchasing Power	0.535	Livability	56011.82796
"Baton Rouge, LA"	Housing Unit Growth	0.626	Policy	0.210459062
"Baton Rouge, LA"	Housing Cost Differential	0.768	Policy	-0.169
"Birmingham, AL"	Price Income Ratio	0.627	Affordability	3.092717766
"Birmingham, AL"	Cost Burdened Renters	0.425	Affordability	0.514071383
"Birmingham, AL"	Vacancy Rate	0.979	Affordability	0.12065577
"Birmingham, AL"	Job Growth	0.171	Job Availability	0.004738878
"Birmingham, AL"	Working Age Emp-Pop	0.131	Job Availability	0.736631118
"Birmingham, AL"	Start-Ups	0.282	Job Availability	0.157732627
"Birmingham, AL"	Quality of Life	0.09	Livability	-0.047
"Birmingham, AL"	Household Purchasing Power	0.303	Livability	52273.33333
"Birmingham, AL"	Housing Unit Growth	0.313	Policy	0.117670105
"Birmingham, AL"	Housing Cost Differential	0.798	Policy	-0.179
"Boise City, ID"	Price Income Ratio	0.475	Affordability	3.341951916
"Boise City, ID"	Cost Burdened Renters	0.94	Affordability	0.460369454
"Boise City, ID"	Vacancy Rate	0.07	Affordability	0.043864032
"Boise City, ID"	Job Growth	0.878	Job Availability	0.257992662
"Boise City, ID"	Working Age Emp-Pop	0.414	Job Availability	0.763877454
"Boise City, ID"	Start-Ups	0.626	Job Availability	0.191541879
"Boise City, ID"	Quality of Life	0.656	Livability	0.01
"Boise City, ID"	Household Purchasing Power	0.434	Livability	54726.50475
"Boise City, ID"	Housing Unit Growth	0.939	Policy	0.414019981
"Boise City, ID"	Housing Cost Differential	0.617	Policy	-0.109
"Boston, MA-NH"	Price Income Ratio	0.091	Affordability	4.958568464
"Boston, MA-NH"	Cost Burdened Renters	0.576	Affordability	0.502871142
"Boston, MA-NH"	Vacancy Rate	0.121	Affordability	0.048289043
"Boston, MA-NH"	Job Growth	0.363	Job Availability	0.056048179
"Boston, MA-NH"	Working Age Emp-Pop	0.909	Job Availability	0.805612564
"Boston, MA-NH"	Start-Ups	0.424	Job Availability	0.169565073
"Boston, MA-NH"	Quality of Life	0.818	Livability	0.034
"Boston, MA-NH"	Household Purchasing Power	0.949	Livability	68229.93688
"Boston, MA-NH"	Housing Unit Growth	0.202	Policy	0.085509981
"Boston, MA-NH"	Housing Cost Differential	0.122	Policy	0.294
"Bridgeport, CT"	Price Income Ratio	0.112	Affordability	4.75880128
"Bridgeport, CT"	Cost Burdened Renters	0.142	Affordability	0.558371536
"Bridgeport, CT"	Vacancy Rate	0.171	Affordability	0.057440967
"Bridgeport, CT"	Job Growth	0.141	Job Availability	-0.005027833
"Bridgeport, CT"	Working Age Emp-Pop	0.696	Job Availability	0.78572328
"Bridgeport, CT"	Start-Ups	0.414	Job Availability	0.168592593
"Bridgeport, CT"	Quality of Life	0.777	Livability	0.029
"Bridgeport, CT"	Household Purchasing Power	0.979	Livability	71129.96689
"Bridgeport, CT"	Housing Unit Growth	0.151	Policy	0.075117979
"Bridgeport, CT"	Housing Cost Differential	0.091	Policy	0.411
"Buffalo, NY"	Price Income Ratio	0.95	Affordability	2.504293645
"Buffalo, NY"	Cost Burdened Renters	0.627	Affordability	0.497608916
"Buffalo, NY"	Vacancy Rate	0.636	Affordability	0.090437747
"Buffalo, NY"	Job Growth	0.181	Job Availability	0.006430465
"Buffalo, NY"	Working Age Emp-Pop	0.565	Job Availability	0.775197845
"Buffalo, NY"	Start-Ups	0.232	Job Availability	0.153834285
"Buffalo, NY"	Quality of Life	0.06	Livability	-0.054
"Buffalo, NY"	Household Purchasing Power	0.363	Livability	53383.79531
"Buffalo, NY"	Housing Unit Growth	0.02	Policy	0.017174144
"Buffalo, NY"	Housing Cost Differential	0.819	Policy	-0.19
"Cape Coral, FL"	Price Income Ratio	0.485	Affordability	3.33095505
"Cape Coral, FL"	Cost Burdened Renters	0.405	Affordability	0.516527649
"Cape Coral, FL"	Vacancy Rate	0.414	Affordability	0.074708269
"Cape Coral, FL"	Job Growth	0.979	Job Availability	0.421877784
"Cape Coral, FL"	Working Age Emp-Pop	0.242	Job Availability	0.749116142
"Cape Coral, FL"	Start-Ups	0.969	Job Availability	0.254879259
"Cape Coral, FL"	Quality of Life	0.858	Livability	0.049
"Cape Coral, FL"	Household Purchasing Power	0.262	Livability	51582.54469
"Cape Coral, FL"	Housing Unit Growth	0.979	Policy	0.530889754
"Cape Coral, FL"	Housing Cost Differential	0.415	Policy	-0.014
"Charleston, SC"	Price Income Ratio	0.374	Affordability	3.541028896
"Charleston, SC"	Cost Burdened Renters	0.273	Affordability	0.536163676
"Charleston, SC"	Vacancy Rate	0.454	Affordability	0.078632195
"Charleston, SC"	Job Growth	0.888	Job Availability	0.261995721
"Charleston, SC"	Working Age Emp-Pop	0.797	Job Availability	0.796173788
"Charleston, SC"	Start-Ups	0.676	Job Availability	0.197532881
"Charleston, SC"	Quality of Life	0.737	Livability	0.025
"Charleston, SC"	Household Purchasing Power	0.494	Livability	55804.16667
"Charleston, SC"	Housing Unit Growth	0.878	Policy	0.343550014
"Charleston, SC"	Housing Cost Differential	0.526	Policy	-0.069
"Charlotte, NC-SC"	Price Income Ratio	0.556	Affordability	3.163457768
"Charlotte, NC-SC"	Cost Burdened Renters	0.809	Affordability	0.47943088
"Charlotte, NC-SC"	Vacancy Rate	0.494	Affordability	0.081762493
"Charlotte, NC-SC"	Job Growth	0.797	Job Availability	0.185133014
"Charlotte, NC-SC"	Working Age Emp-Pop	0.636	Job Availability	0.779674964
"Charlotte, NC-SC"	Start-Ups	0.777	Job Availability	0.209419412
"Charlotte, NC-SC"	Quality of Life	0.484	Livability	-0.013
"Charlotte, NC-SC"	Household Purchasing Power	0.606	Livability	57332.97645
"Charlotte, NC-SC"	Housing Unit Growth	0.919	Policy	0.376033157
"Charlotte, NC-SC"	Housing Cost Differential	0.465	Policy	-0.033
"Chattanooga, TN-GA"	Price Income Ratio	0.586	Affordability	3.126609442
"Chattanooga, TN-GA"	Cost Burdened Renters	0.758	Affordability	0.487600315
"Chattanooga, TN-GA"	Vacancy Rate	0.929	Affordability	0.112525272
"Chattanooga, TN-GA"	Job Growth	0.242	Job Availability	0.025708774
"Chattanooga, TN-GA"	Working Age Emp-Pop	0.181	Job Availability	0.743424775
"Chattanooga, TN-GA"	Start-Ups	0.252	Job Availability	0.155306719
"Chattanooga, TN-GA"	Quality of Life	0.232	Livability	-0.035
"Chattanooga, TN-GA"	Household Purchasing Power	0.242	Livability	51434.87859
"Chattanooga, TN-GA"	Housing Unit Growth	0.424	Policy	0.158602923
"Chattanooga, TN-GA"	Housing Cost Differential	0.94	Policy	-0.258
"Chicago, IL-IN-WI"	Price Income Ratio	0.415	Affordability	3.438423325
"Chicago, IL-IN-WI"	Cost Burdened Renters	0.384	Affordability	0.517487115
"Chicago, IL-IN-WI"	Vacancy Rate	0.575	Affordability	0.085142584
"Chicago, IL-IN-WI"	Job Growth	0.151	Job Availability	-0.003207049
"Chicago, IL-IN-WI"	Working Age Emp-Pop	0.626	Job Availability	0.779248773
"Chicago, IL-IN-WI"	Start-Ups	0.636	Job Availability	0.192480737
"Chicago, IL-IN-WI"	Quality of Life	0.626	Livability	0.005
"Chicago, IL-IN-WI"	Household Purchasing Power	0.626	Livability	57784.24015
"Chicago, IL-IN-WI"	Housing Unit Growth	0.252	Policy	0.098675494
"Chicago, IL-IN-WI"	Housing Cost Differential	0.142	Policy	0.224
"Cincinnati, OH-KY-IN"	Price Income Ratio	0.798	Affordability	2.72927919
"Cincinnati, OH-KY-IN"	Cost Burdened Renters	0.859	Affordability	0.472503319
"Cincinnati, OH-KY-IN"	Vacancy Rate	0.646	Affordability	0.090798693
"Cincinnati, OH-KY-IN"	Job Growth	0.313	Job Availability	0.048954771
"Cincinnati, OH-KY-IN"	Working Age Emp-Pop	0.737	Job Availability	0.788933983
"Cincinnati, OH-KY-IN"	Start-Ups	0.262	Job Availability	0.15641583
"Cincinnati, OH-KY-IN"	Quality of Life	0.212	Livability	-0.038
"Cincinnati, OH-KY-IN"	Household Purchasing Power	0.777	Livability	61579.00552
"Cincinnati, OH-KY-IN"	Housing Unit Growth	0.292	Policy	0.11049631
"Cincinnati, OH-KY-IN"	Housing Cost Differential	0.536	Policy	-0.07
"Cleveland, OH"	Price Income Ratio	0.778	Affordability	2.762131933
"Cleveland, OH"	Cost Burdened Renters	0.435	Affordability	0.512791171
"Cleveland, OH"	Vacancy Rate	0.868	Affordability	0.107394469
"Cleveland, OH"	Job Growth	0.05	Job Availability	-0.074325752
"Cleveland, OH"	Working Age Emp-Pop	0.535	Job Availability	0.7717402
"Cleveland, OH"	Start-Ups	0.08	Job Availability	0.140702275
"Cleveland, OH"	Quality of Life	0.444	Livability	-0.016
"Cleveland, OH"	Household Purchasing Power	0.474	Livability	55741.89944
"Cleveland, OH"	Housing Unit Growth	0.07	Policy	0.049741265
"Cleveland, OH"	Housing Cost Differential	0.455	Policy	-0.032
"Colorado Springs, CO"	Price Income Ratio	0.273	Affordability	3.790543839
"Colorado Springs, CO"	Cost Burdened Renters	0.354	Affordability	0.522565538
"Colorado Springs, CO"	Vacancy Rate	0.181	Affordability	0.057624249
"Colorado Springs, CO"	Job Growth	0.393	Job Availability	0.064678807
"Colorado Springs, CO"	Working Age Emp-Pop	0.303	Job Availability	0.754792661
"Colorado Springs, CO"	Start-Ups	0.646	Job Availability	0.192988286
"Colorado Springs, CO"	Quality of Life	0.909	Livability	0.055
"Colorado Springs, CO"	Household Purchasing Power	0.696	Livability	59769.61771
"Colorado Springs, CO"	Housing Unit Growth	0.898	Policy	0.359564882
"Colorado Springs, CO"	Housing Cost Differential	0.334	Policy	0.033
"Columbia, SC"	Price Income Ratio	0.758	Affordability	2.810884191
"Columbia, SC"	Cost Burdened Renters	0.506	Affordability	0.509724083
"Columbia, SC"	Vacancy Rate	0.797	Affordability	0.102631162
"Columbia, SC"	Job Growth	0.565	Job Availability	0.112426726
"Columbia, SC"	Working Age Emp-Pop	0.434	Job Availability	0.76458838
"Columbia, SC"	Start-Ups	0.323	Job Availability	0.161800685
"Columbia, SC"	Quality of Life	0.565	Livability	-0.007
"Columbia, SC"	Household Purchasing Power	0.404	Livability	54328.63341
"Columbia, SC"	Housing Unit Growth	0.747	Policy	0.26675432
"Columbia, SC"	Housing Cost Differential	0.748	Policy	-0.145
"Columbus, OH"	Price Income Ratio	0.718	Affordability	2.852530556
"Columbus, OH"	Cost Burdened Renters	0.91	Affordability	0.464127327
"Columbus, OH"	Vacancy Rate	0.525	Affordability	0.083269945
"Columbus, OH"	Job Growth	0.555	Job Availability	0.109855625
"Columbus, OH"	Working Age Emp-Pop	0.818	Job Availability	0.797180352
"Columbus, OH"	Start-Ups	0.535	Job Availability	0.177761387
"Columbus, OH"	Quality of Life	0.343	Livability	-0.028
"Columbus, OH"	Household Purchasing Power	0.727	Livability	60289.83957
"Columbus, OH"	Housing Unit Growth	0.525	Policy	0.189533738
"Columbus, OH"	Housing Cost Differential	0.506	Policy	-0.054
"Dallas, TX"	Price Income Ratio	0.819	Affordability	2.697799429
"Dallas, TX"	Cost Burdened Renters	0.778	Affordability	0.485813386
"Dallas, TX"	Vacancy Rate	0.353	Affordability	0.069379044
"Dallas, TX"	Job Growth	0.818	Job Availability	0.206628882
"Dallas, TX"	Working Age Emp-Pop	0.676	Job Availability	0.783188481
"Dallas, TX"	Start-Ups	0.909	Job Availability	0.229482551
"Dallas, TX"	Quality of Life	0.121	Livability	-0.044
"Dallas, TX"	Household Purchasing Power	0.666	Livability	59057.53968
"Dallas, TX"	Housing Unit Growth	0.838	Policy	0.311314783
"Dallas, TX"	Housing Cost Differential	0.475	Policy	-0.037
"Dayton, OH"	Price Income Ratio	0.91	Affordability	2.574041159
"Dayton, OH"	Cost Burdened Renters	0.394	Affordability	0.516620511
"Dayton, OH"	Vacancy Rate	0.838	Affordability	0.105440716
"Dayton, OH"	Job Growth	0.02	Job Availability	-0.111634813
"Dayton, OH"	Working Age Emp-Pop	0.353	Job Availability	0.758483359
"Dayton, OH"	Start-Ups	0.02	Job Availability	0.132535095
"Dayton, OH"	Quality of Life	0.323	Livability	-0.03
"Dayton, OH"	Household Purchasing Power	0.222	Livability	51315.38462
"Dayton, OH"	Housing Unit Growth	0.111	Policy	0.059429009
"Dayton, OH"	Housing Cost Differential	0.667	Policy	-0.124
"Deltona, FL"	Price Income Ratio	0.495	Affordability	3.329565791
"Deltona, FL"	Cost Burdened Renters	0.011	Affordability	0.622682339
"Deltona, FL"	Vacancy Rate	0.505	Affordability	0.082168164
"Deltona, FL"	Job Growth	0.757	Job Availability	0.171841743
"Deltona, FL"	Working Age Emp-Pop	0.09	Job Availability	0.726714271
"Deltona, FL"	Start-Ups	0.727	Job Availability	0.2035486
"Deltona, FL"	Quality of Life	0.717	Livability	0.019
"Deltona, FL"	Household Purchasing Power	0.03	Livability	44469.10995
"Deltona, FL"	Housing Unit Growth	0.818	Policy	0.293108846
"Deltona, FL"	Housing Cost Differential	0.809	Policy	-0.185
"Denver, CO"	Price Income Ratio	0.192	Affordability	4.139374907
"Denver, CO"	Cost Burdened Renters	0.637	Affordability	0.497531766
"Denver, CO"	Vacancy Rate	0.03	Affordability	0.040851625
"Denver, CO"	Job Growth	0.636	Job Availability	0.141200168
"Denver, CO"	Working Age Emp-Pop	0.949	Job Availability	0.820066273
"Denver, CO"	Start-Ups	0.828	Job Availability	0.217641292
"Denver, CO"	Quality of Life	0.898	Livability	0.054
"Denver, CO"	Household Purchasing Power	0.858	Livability	63807.25191
"Denver, CO"	Housing Unit Growth	0.707	Policy	0.247718145
"Denver, CO"	Housing Cost Differential	0.132	Policy	0.24
"Des Moines, IA"	Price Income Ratio	0.859	Affordability	2.632674631
"Des Moines, IA"	Cost Burdened Renters	1	Affordability	0.420440283
"Des Moines, IA"	Vacancy Rate	0.242	Affordability	0.062416498
"Des Moines, IA"	Job Growth	0.838	Job Availability	0.207973399
"Des Moines, IA"	Working Age Emp-Pop	1	Job Availability	0.852972635
"Des Moines, IA"	Start-Ups	0.353	Job Availability	0.162932408
"Des Moines, IA"	Quality of Life	0.404	Livability	-0.022
"Des Moines, IA"	Household Purchasing Power	0.898	Livability	65801.89673
"Des Moines, IA"	Housing Unit Growth	0.767	Policy	0.276293551
"Des Moines, IA"	Housing Cost Differential	0.657	Policy	-0.123
"Detroit, MI"	Price Income Ratio	0.889	Affordability	2.599977126
"Detroit, MI"	Cost Burdened Renters	0.324	Affordability	0.524300624
"Detroit, MI"	Vacancy Rate	0.939	Affordability	0.11274718
"Detroit, MI"	Job Growth	0	Job Availability	-0.119291287
"Detroit, MI"	Working Age Emp-Pop	0.202	Job Availability	0.744497766
"Detroit, MI"	Start-Ups	0.575	Job Availability	0.184829476
"Detroit, MI"	Quality of Life	0.09	Livability	-0.047
"Detroit, MI"	Household Purchasing Power	0.383	Livability	53807.17949
"Detroit, MI"	Housing Unit Growth	0.09	Policy	0.052191622
"Detroit, MI"	Housing Cost Differential	0.273	Policy	0.053
"Durham-Chapel Hill, NC"	Price Income Ratio	0.253	Affordability	3.831653458
"Durham-Chapel Hill, NC"	Cost Burdened Renters	0.455	Affordability	0.511785179
"Durham-Chapel Hill, NC"	Vacancy Rate	0.444	Affordability	0.077127352
"Durham-Chapel Hill, NC"	Job Growth	0.737	Job Availability	0.162448084
"Durham-Chapel Hill, NC"	Working Age Emp-Pop	0.555	Job Availability	0.775126931
"Durham-Chapel Hill, NC"	Start-Ups	0.525	Job Availability	0.17386843
"Durham-Chapel Hill, NC"	Quality of Life	0.666	Livability	0.011
"Durham-Chapel Hill, NC"	Household Purchasing Power	0.424	Livability	54551.94124
"Durham-Chapel Hill, NC"	Housing Unit Growth	0.797	Policy	0.285612022
"Durham-Chapel Hill, NC"	Housing Cost Differential	0.304	Policy	0.044
"El Paso, TX"	Price Income Ratio	0.708	Affordability	2.857997159
"El Paso, TX"	Cost Burdened Renters	0.697	Affordability	0.492046554
"El Paso, TX"	Vacancy Rate	0.737	Affordability	0.097344703
"El Paso, TX"	Job Growth	0.676	Job Availability	0.149774297
"El Paso, TX"	Working Age Emp-Pop	0.07	Job Availability	0.711648906
"El Paso, TX"	Start-Ups	0.737	Job Availability	0.204998992
"El Paso, TX"	Quality of Life	0.141	Livability	-0.041
"El Paso, TX"	Household Purchasing Power	0.01	Livability	44150.71507
"El Paso, TX"	Housing Unit Growth	0.757	Policy	0.275422941
"El Paso, TX"	Housing Cost Differential	0.99	Policy	-0.369
"Fresno, CA"	Price Income Ratio	0.122	Affordability	4.71409161
"Fresno, CA"	Cost Burdened Renters	0.061	Affordability	0.582613702
"Fresno, CA"	Vacancy Rate	0.222	Affordability	0.061025796
"Fresno, CA"	Job Growth	0.767	Job Availability	0.173496772
"Fresno, CA"	Working Age Emp-Pop	0.01	Job Availability	0.676978463
"Fresno, CA"	Start-Ups	0.343	Job Availability	0.162646675
"Fresno, CA"	Quality of Life	0.555	Livability	-0.008
"Fresno, CA"	Household Purchasing Power	0.02	Livability	44399.7955
"Fresno, CA"	Housing Unit Growth	0.575	Policy	0.197184295
"Fresno, CA"	Housing Cost Differential	0.485	Policy	-0.039
"Grand Rapids, MI"	Price Income Ratio	0.849	Affordability	2.653939528
"Grand Rapids, MI"	Cost Burdened Renters	0.566	Affordability	0.503435765
"Grand Rapids, MI"	Vacancy Rate	0.141	Affordability	0.051256803
"Grand Rapids, MI"	Job Growth	0.282	Job Availability	0.031634548
"Grand Rapids, MI"	Working Age Emp-Pop	0.868	Job Availability	0.801745165
"Grand Rapids, MI"	Start-Ups	0.171	Job Availability	0.148373069
"Grand Rapids, MI"	Quality of Life	0.121	Livability	-0.044
"Grand Rapids, MI"	Household Purchasing Power	0.636	Livability	58214.13276
"Grand Rapids, MI"	Housing Unit Growth	0.363	Policy	0.132062601
"Grand Rapids, MI"	Housing Cost Differential	0.647	Policy	-0.122
"Greensboro, NC"	Price Income Ratio	0.506	Affordability	3.256196405
"Greensboro, NC"	Cost Burdened Renters	0.374	Affordability	0.518736988
"Greensboro, NC"	Vacancy Rate	0.858	Affordability	0.106668821
"Greensboro, NC"	Job Growth	0.06	Job Availability	-0.03802047
"Greensboro, NC"	Working Age Emp-Pop	0.404	Job Availability	0.763710684
"Greensboro, NC"	Start-Ups	0.242	Job Availability	0.154173107
"Greensboro, NC"	Quality of Life	0.444	Livability	-0.016
"Greensboro, NC"	Household Purchasing Power	0.08	Livability	47189.57871
"Greensboro, NC"	Housing Unit Growth	0.555	Policy	0.192759826
"Greensboro, NC"	Housing Cost Differential	0.687	Policy	-0.126
"Greenville, SC"	Price Income Ratio	0.607	Affordability	3.112788335
"Greenville, SC"	Cost Burdened Renters	0.485	Affordability	0.510567273
"Greenville, SC"	Vacancy Rate	0.707	Affordability	0.094812543
"Greenville, SC"	Job Growth	0.656	Job Availability	0.143171483
"Greenville, SC"	Working Age Emp-Pop	0.292	Job Availability	0.752185962
"Greenville, SC"	Start-Ups	0.393	Job Availability	0.166433689
"Greenville, SC"	Quality of Life	0.292	Livability	-0.031
"Greenville, SC"	Household Purchasing Power	0.161	Livability	49538.71681
"Greenville, SC"	Housing Unit Growth	0.494	Policy	0.181867384
"Greenville, SC"	Housing Cost Differential	0.859	Policy	-0.21
"Harrisburg, PA"	Price Income Ratio	0.667	Affordability	2.963181047
"Harrisburg, PA"	Cost Burdened Renters	0.536	Affordability	0.506971111
"Harrisburg, PA"	Vacancy Rate	0.262	Affordability	0.063665875
"Harrisburg, PA"	Job Growth	0.292	Job Availability	0.042838517
"Harrisburg, PA"	Working Age Emp-Pop	0.828	Job Availability	0.797751437
"Harrisburg, PA"	Start-Ups	0.05	Job Availability	0.136688413
"Harrisburg, PA"	Quality of Life	0.333	Livability	-0.029
"Harrisburg, PA"	Household Purchasing Power	0.717	Livability	59960.53998
"Harrisburg, PA"	Housing Unit Growth	0.343	Policy	0.129832969
"Harrisburg, PA"	Housing Cost Differential	0.607	Policy	-0.105
"Hartford, CT"	Price Income Ratio	0.364	Affordability	3.547248001
"Hartford, CT"	Cost Burdened Renters	0.516	Affordability	0.508520814
"Hartford, CT"	Vacancy Rate	0.303	Affordability	0.066295659
"Hartford, CT"	Job Growth	0.232	Job Availability	0.017232086
"Hartford, CT"	Working Age Emp-Pop	0.848	Job Availability	0.800414337
"Hartford, CT"	Start-Ups	0.07	Job Availability	0.139635815
"Hartford, CT"	Quality of Life	0.363	Livability	-0.026
"Hartford, CT"	Household Purchasing Power	0.959	Livability	68258.96414
"Hartford, CT"	Housing Unit Growth	0.181	Policy	0.077664307
"Hartford, CT"	Housing Cost Differential	0.192	Policy	0.133
"Houston, TX"	Price Income Ratio	0.94	Affordability	2.550273006
"Houston, TX"	Cost Burdened Renters	0.839	Affordability	0.475440865
"Houston, TX"	Vacancy Rate	0.424	Affordability	0.074761493
"Houston, TX"	Job Growth	0.939	Job Availability	0.313309237
"Houston, TX"	Working Age Emp-Pop	0.525	Job Availability	0.771586761
"Houston, TX"	Start-Ups	0.898	Job Availability	0.229127412
