date	rate
07/19/1974	9.37
07/26/1974	9.42
08/02/1974	9.47
08/09/1974	9.50
08/16/1974	9.60
08/23/1974	9.62
08/30/1974	9.74
09/06/1974	9.88
09/13/1974	9.92
09/20/1974	10.00
09/27/1974	10.03
10/04/1974	10.02
10/11/1974	9.96
10/18/1974	9.99
10/25/1974	9.94
11/01/1974	9.87
11/08/1974	9.81
11/15/1974	9.81
11/22/1974	9.73
11/29/1974	9.72
12/06/1974	9.69
12/13/1974	9.63
12/20/1974	9.58
12/27/1974	9.56
01/03/1975	9.60
01/10/1975	9.49
01/17/1975	9.43
01/24/1975	9.35
01/31/1975	9.29
02/07/1975	9.20
02/14/1975	9.13
02/21/1975	9.07
02/28/1975	9.02
03/07/1975	9.00
03/14/1975	8.89
03/21/1975	8.86
03/28/1975	8.86
04/04/1975	8.83
04/11/1975	8.81
04/18/1975	8.80
04/25/1975	8.84
05/02/1975	8.92
05/09/1975	8.88
05/16/1975	8.92
05/23/1975	8.92
05/30/1975	8.89
06/06/1975	8.89
06/13/1975	8.90
06/20/1975	8.88
06/27/1975	8.90
07/03/1975	8.88
07/11/1975	8.90
07/18/1975	8.89
07/25/1975	8.89
08/01/1975	8.89
08/08/1975	8.89
08/15/1975	8.93
08/22/1975	8.98
08/29/1975	9.02
09/05/1975	9.08
09/12/1975	9.16
09/19/1975	9.14
09/26/1975	9.14
10/03/1975	9.20
10/10/1975	9.21
10/17/1975	9.21
10/24/1975	9.26
10/31/1975	9.24
11/07/1975	9.19
11/14/1975	9.16
11/21/1975	9.12
11/28/1975	9.11
12/05/1975	9.11
12/12/1975	9.11
12/19/1975	9.08
12/26/1975	9.09
01/02/1976	9.10
01/09/1976	9.07
01/16/1976	9.01
01/23/1976	9.00
01/30/1976	8.90
02/06/1976	8.86
02/13/1976	8.83
02/20/1976	8.81
02/27/1976	8.75
03/05/1976	8.77
03/12/1976	8.75
03/19/1976	8.75
03/26/1976	8.75
04/02/1976	8.70
04/09/1976	8.70
04/16/1976	8.75
04/23/1976	8.75
04/30/1976	8.75
05/07/1976	8.75
05/14/1976	8.75
05/21/1976	8.78
05/28/1976	8.78
06/04/1976	8.78
06/11/1976	8.83
06/18/1976	8.88
06/25/1976	8.90
07/02/1976	8.93
07/09/1976	8.93
07/16/1976	8.93
07/23/1976	8.90
07/30/1976	8.98
08/06/1976	9.00
08/13/1976	9.00
08/20/1976	9.00
08/27/1976	9.00
09/03/1976	9.00
09/10/1976	8.97
09/17/1976	8.97
09/24/1976	8.97
10/01/1976	8.90
10/08/1976	8.95
10/15/1976	8.95
10/22/1976	8.95
10/29/1976	8.90
11/05/1976	8.85
11/12/1976	8.80
11/19/1976	8.80
11/26/1976	8.80
12/03/1976	8.80
12/10/1976	8.80
12/17/1976	8.80
12/24/1976	8.78
12/31/1976	8.78
01/07/1977	8.70
01/14/1977	8.73
01/21/1977	8.73
01/28/1977	8.73
02/04/1977	8.68
02/11/1977	8.70
02/18/1977	8.65
02/25/1977	8.65
03/04/1977	8.65
03/11/1977	8.70
03/18/1977	8.70
03/25/1977	8.70
04/01/1977	8.70
04/08/1977	8.75
04/15/1977	8.75
04/22/1977	8.78
04/29/1977	8.78
05/06/1977	8.78
05/13/1977	8.83
05/20/1977	8.85
05/27/1977	8.85
06/03/1977	8.85
06/10/1977	8.85
06/17/1977	8.85
06/24/1977	8.88
07/01/1977	8.95
07/08/1977	8.93
07/15/1977	8.95
07/22/1977	8.95
07/29/1977	8.93
08/05/1977	8.95
08/12/1977	8.95
08/19/1977	8.93
08/26/1977	8.93
09/02/1977	8.88
09/09/1977	8.90
09/16/1977	8.90
09/23/1977	8.90
09/30/1977	8.90
10/07/1977	8.93
10/14/1977	8.93
10/21/1977	8.93
10/28/1977	8.90
11/04/1977	8.90
11/11/1977	8.93
11/18/1977	8.93
11/25/1977	8.93
12/02/1977	8.95
12/09/1977	8.95
12/16/1977	8.95
12/23/1977	8.95
12/30/1977	9.00
01/06/1978	9.00
01/13/1978	9.03
01/20/1978	8.98
01/27/1978	9.05
02/03/1978	9.13
02/10/1978	9.15
02/17/1978	9.15
02/24/1978	9.15
03/03/1978	9.15
03/10/1978	9.15
03/17/1978	9.23
03/24/1978	9.23
03/31/1978	9.25
04/07/1978	9.28
04/14/1978	9.33
04/21/1978	9.38
04/28/1978	9.43
05/05/1978	9.48
05/12/1978	9.55
05/19/1978	9.58
05/26/1978	9.68
06/02/1978	9.68
06/09/1978	9.70
06/16/1978	9.73
06/23/1978	9.70
06/30/1978	9.73
07/07/1978	9.73
07/14/1978	9.73
07/21/1978	9.75
07/28/1978	9.75
08/04/1978	9.78
08/11/1978	9.78
08/18/1978	9.78
08/25/1978	9.80
09/01/1978	9.75
09/08/1978	9.75
09/15/1978	9.75
09/22/1978	9.75
09/29/1978	9.78
10/06/1978	9.85
10/13/1978	9.85
10/20/1978	9.85
10/27/1978	9.88
11/03/1978	9.90
11/10/1978	10.05
11/17/1978	10.20
11/24/1978	10.28
12/01/1978	10.30
12/08/1978	10.35
12/15/1978	10.35
12/22/1978	10.35
12/29/1978	10.38
01/05/1979	10.38
01/12/1979	10.38
01/19/1979	10.40
01/26/1979	10.40
02/02/1979	10.40
02/09/1979	10.43
02/16/1979	10.40
02/23/1979	10.40
03/02/1979	10.43
03/09/1979	10.40
03/16/1979	10.40
03/23/1979	10.45
03/30/1979	10.45
04/06/1979	10.48
04/13/1979	10.48
04/20/1979	10.50
04/27/1979	10.53
05/04/1979	10.60
05/11/1979	10.68
05/18/1979	10.73
05/25/1979	10.75
06/01/1979	10.90
06/08/1979	11.03
06/15/1979	11.05
06/22/1979	11.10
06/29/1979	11.10
07/06/1979	11.13
07/13/1979	11.08
07/20/1979	11.08
07/27/1979	11.08
08/03/1979	11.08
08/10/1979	11.08
08/17/1979	11.08
08/24/1979	11.10
08/31/1979	11.13
09/07/1979	11.20
09/14/1979	11.30
09/21/1979	11.35
09/28/1979	11.35
10/05/1979	11.35
10/12/1979	11.45
10/19/1979	11.75
10/26/1979	12.00
11/02/1979	12.80
11/09/1979	12.85
11/16/1979	12.80
11/23/1979	12.80
11/30/1979	12.90
12/07/1979	12.90
12/14/1979	12.90
12/21/1979	12.90
12/28/1979	12.90
01/04/1980	12.85
01/11/1980	12.90
01/18/1980	12.87
01/25/1980	12.89
02/01/1980	12.85
02/08/1980	12.85
02/15/1980	12.88
02/22/1980	13.03
02/29/1980	13.59
03/07/1980	14.00
03/14/1980	15.40
03/21/1980	15.70
03/28/1980	16.03
04/04/1980	16.35
04/11/1980	16.35
04/18/1980	16.35
04/25/1980	16.25
05/02/1980	15.90
05/09/1980	14.68
05/16/1980	14.15
05/23/1980	13.38
05/30/1980	13.20
06/06/1980	13.06
06/13/1980	12.85
06/20/1980	12.58
06/27/1980	12.35
07/04/1980	12.18
07/11/1980	12.23
07/18/1980	12.18
07/25/1980	12.18
08/01/1980	12.25
08/08/1980	12.25
08/15/1980	12.55
08/22/1980	12.80
08/29/1980	12.95
09/05/1980	13.03
09/12/1980	13.08
09/19/1980	13.25
09/26/1980	13.43
10/03/1980	13.60
10/10/1980	13.73
10/17/1980	13.78
10/24/1980	13.85
10/31/1980	14.00
11/07/1980	14.08
11/14/1980	14.18
11/21/1980	14.28
11/28/1980	14.28
12/05/1980	14.43
12/12/1980	14.83
12/19/1980	14.95
12/26/1980	14.95
01/02/1981	14.95
01/09/1981	14.80
01/16/1981	14.85
01/23/1981	14.85
01/30/1981	15.07
02/06/1981	15.00
02/13/1981	15.03
02/20/1981	15.20
02/27/1981	15.30
03/06/1981	15.40
03/13/1981	15.40
03/20/1981	15.40
03/27/1981	15.40
04/03/1981	15.40
04/10/1981	15.50
04/17/1981	15.65
04/24/1981	15.77
05/01/1981	15.82
05/08/1981	16.12
05/15/1981	16.64
05/22/1981	16.63
05/29/1981	16.80
06/05/1981	16.76
06/12/1981	16.69
06/19/1981	16.71
06/26/1981	16.62
07/03/1981	16.64
07/10/1981	16.79
07/17/1981	16.74
07/24/1981	16.88
07/31/1981	17.11
08/07/1981	17.13
08/14/1981	17.27
08/21/1981	17.26
08/28/1981	17.48
09/04/1981	17.79
09/11/1981	18.22
09/18/1981	18.27
09/25/1981	18.36
10/02/1981	18.28
10/09/1981	18.63
10/16/1981	18.53
10/21/1981	18.39
10/30/1981	18.44
11/06/1981	18.37
11/13/1981	18.02
11/20/1981	17.70
11/27/1981	17.21
12/04/1981	16.90
12/11/1981	16.94
12/18/1981	16.90
12/25/1981	16.95
12/31/1981	17.04
01/08/1982	17.30
01/15/1982	17.44
01/22/1982	17.61
01/29/1982	17.59
02/05/1982	17.56
02/12/1982	17.65
02/19/1982	17.66
02/26/1982	17.52
03/05/1982	17.29
03/12/1982	17.19
03/19/1982	17.12
03/26/1982	17.04
04/02/1982	16.95
04/09/1982	16.91
04/16/1982	16.93
04/23/1982	16.86
04/30/1982	16.81
05/07/1982	16.78
05/14/1982	16.63
05/21/1982	16.67
05/28/1982	16.63
06/04/1982	16.65
06/11/1982	16.70
06/18/1982	16.71
06/25/1982	16.73
07/02/1982	16.87
07/09/1982	16.93
07/16/1982	16.88
07/23/1982	16.75
07/30/1982	16.65
08/06/1982	16.55
08/13/1982	16.44
08/20/1982	16.21
08/27/1982	15.88
09/03/1982	15.59
09/10/1982	15.56
09/17/1982	15.38
09/24/1982	15.19
10/01/1982	15.13
10/08/1982	14.96
10/15/1982	14.60
10/22/1982	14.20
10/29/1982	14.15
11/05/1982	13.91
11/12/1982	13.84
11/19/1982	13.78
11/26/1982	13.77
12/03/1982	13.66
12/10/1982	13.66
12/17/1982	13.63
12/24/1982	13.60
12/31/1982	13.57
01/07/1983	13.46
01/14/1983	13.31
01/21/1983	13.12
01/28/1983	13.10
02/04/1983	13.06
02/11/1983	13.06
02/18/1983	13.07
02/25/1983	12.98
03/04/1983	12.74
03/11/1983	12.79
03/18/1983	12.81
03/25/1983	12.86
04/01/1983	12.82
04/08/1983	12.82
04/15/1983	12.79
04/22/1983	12.75
04/29/1983	12.73
05/06/1983	12.71
05/13/1983	12.59
05/20/1983	12.55
05/27/1983	12.68
06/03/1983	12.74
06/10/1983	12.82
06/17/1983	12.96
06/24/1983	12.96
07/01/1983	13.08
07/08/1983	13.30
07/15/1983	13.50
07/22/1983	13.58
07/29/1983	13.65
08/05/1983	13.73
08/12/1983	13.84
08/19/1983	13.89
08/26/1983	13.78
09/02/1983	13.77
09/09/1983	13.77
09/16/1983	13.72
09/23/1983	13.72
09/30/1983	13.65
10/07/1983	13.59
10/14/1983	13.60
10/21/1983	13.52
10/28/1983	13.43
11/04/1983	13.42
11/11/1983	13.47
11/18/1983	13.42
11/25/1983	13.43
12/02/1983	13.41
12/09/1983	13.38
12/16/1983	13.42
12/23/1983	13.46
12/30/1983	13.43
01/06/1984	13.43
01/13/1984	13.40
01/20/1984	13.35
01/27/1984	13.29
02/03/1984	13.26
02/10/1984	13.23
02/17/1984	13.19
02/24/1984	13.25
03/02/1984	13.23
03/09/1984	13.30
03/16/1984	13.37
03/23/1984	13.48
03/30/1984	13.55
04/06/1984	13.63
04/13/1984	13.58
04/20/1984	13.67
04/27/1984	13.73
05/04/1984	13.78
05/11/1984	13.87
05/18/1984	14.04
05/25/1984	14.08
06/01/1984	14.29
06/08/1984	14.33
06/15/1984	14.47
06/22/1984	14.49
06/29/1984	14.50
07/06/1984	14.66
07/13/1984	14.68
07/20/1984	14.66
07/27/1984	14.67
08/03/1984	14.68
08/10/1984	14.54
08/17/1984	14.39
08/24/1984	14.36
08/31/1984	14.38
09/07/1984	14.42
09/14/1984	14.43
09/21/1984	14.29
09/28/1984	14.26
10/05/1984	14.18
10/12/1984	14.19
10/19/1984	14.10
10/26/1984	14.05
11/02/1984	13.85
11/09/1984	13.74
11/16/1984	13.63
11/23/1984	13.55
11/30/1984	13.42
12/07/1984	13.20
12/14/1984	13.20
12/21/1984	13.18
12/28/1984	13.14
01/04/1985	13.10
01/11/1985	13.12
01/18/1985	13.12
01/25/1985	12.96
02/01/1985	12.93
02/08/1985	12.91
02/15/1985	12.90
02/22/1985	12.94
03/01/1985	13.02
03/08/1985	13.10
03/15/1985	13.20
03/22/1985	13.24
03/29/1985	13.29
04/05/1985	13.27
04/12/1985	13.23
04/19/1985	13.16
04/26/1985	13.12
05/03/1985	13.07
05/10/1985	13.02
05/17/1985	12.94
05/24/1985	12.83
05/31/1985	12.71
06/07/1985	12.39
06/14/1985	12.27
06/21/1985	12.05
06/28/1985	12.15
07/05/1985	12.13
07/12/1985	12.03
07/19/1985	11.94
07/26/1985	12.03
08/02/1985	12.17
08/09/1985	12.23
08/16/1985	12.24
08/23/1985	12.18
08/30/1985	12.11
09/06/1985	12.15
09/13/1985	12.24
09/20/1985	12.21
09/27/1985	12.17
10/04/1985	12.17
10/11/1985	12.17
10/18/1985	12.13
10/25/1985	12.07
11/01/1985	12.01
11/08/1985	11.90
11/15/1985	11.79
11/22/1985	11.64
11/29/1985	11.58
12/06/1985	11.50
12/13/1985	11.31
12/20/1985	11.14
12/27/1985	11.09
01/03/1986	10.81
01/10/1986	10.77
01/17/1986	10.99
01/24/1986	10.97
01/31/1986	10.89
02/07/1986	10.85
02/14/1986	10.80
02/21/1986	10.68
02/28/1986	10.51
03/07/1986	10.20
03/14/1986	10.01
03/21/1986	10.01
03/28/1986	10.10
04/04/1986	9.99
04/11/1986	9.98
04/18/1986	9.92
04/25/1986	9.86
05/02/1986	9.90
05/09/1986	10.00
05/16/1986	10.08
05/23/1986	10.36
05/30/1986	10.38
06/06/1986	10.74
06/13/1986	10.76
06/20/1986	10.61
06/27/1986	10.62
07/04/1986	10.61
07/11/1986	10.59
07/18/1986	10.43
07/25/1986	10.40
08/01/1986	10.40
08/08/1986	10.40
08/15/1986	10.23
08/22/1986	10.04
08/29/1986	9.93
09/05/1986	9.90
09/12/1986	9.96
09/19/1986	10.07
09/26/1986	10.10
10/03/1986	10.08
10/10/1986	9.99
10/17/1986	9.96
10/24/1986	9.95
10/31/1986	9.89
11/07/1986	9.83
11/14/1986	9.81
11/21/1986	9.64
11/28/1986	9.50
12/05/1986	9.30
12/12/1986	9.35
12/19/1986	9.30
12/26/1986	9.29
01/02/1987	9.37
01/09/1987	9.32
01/16/1987	9.21
01/23/1987	9.04
01/30/1987	9.08
02/06/1987	9.06
02/13/1987	9.09
02/20/1987	9.11
02/27/1987	9.07
03/06/1987	9.03
03/13/1987	9.05
03/20/1987	9.03
03/27/1987	9.03
04/03/1987	9.26
04/10/1987	9.43
04/17/1987	10.27
04/24/1987	10.37
05/01/1987	10.47
05/08/1987	10.52
05/15/1987	10.48
05/22/1987	10.81
05/29/1987	10.70
06/05/1987	10.70
06/12/1987	10.66
06/19/1987	10.44
06/26/1987	10.35
07/03/1987	10.36
07/10/1987	10.30
07/17/1987	10.23
07/24/1987	10.23
07/31/1987	10.27
08/07/1987	10.35
08/14/1987	10.34
08/21/1987	10.30
08/28/1987	10.33
09/04/1987	10.63
09/11/1987	10.91
09/18/1987	10.99
09/25/1987	11.02
10/02/1987	11.18
10/09/1987	11.21
10/16/1987	11.58
10/23/1987	11.36
10/30/1987	10.97
11/06/1987	10.79
11/13/1987	10.66
11/20/1987	10.60
11/27/1987	10.55
12/04/1987	10.60
12/11/1987	10.66
12/18/1987	10.69
12/25/1987	10.64
12/31/1987	10.61
01/08/1988	10.50
01/15/1988	10.53
01/22/1988	10.34
01/29/1988	10.16
02/05/1988	9.94
02/12/1988	9.84
02/19/1988	9.92
02/26/1988	9.87
03/04/1988	9.85
03/11/1988	9.96
03/18/1988	9.92
03/25/1988	9.99
04/01/1988	10.05
04/08/1988	10.19
04/15/1988	10.19
04/22/1988	10.30
04/29/1988	10.28
05/06/1988	10.32
05/13/1988	10.40
05/20/1988	10.52
05/27/1988	10.58
06/03/1988	10.58
06/10/1988	10.51
06/17/1988	10.35
06/24/1988	10.40
07/01/1988	10.39
07/08/1988	10.38
07/15/1988	10.44
07/22/1988	10.46
07/29/1988	10.49
08/05/1988	10.44
08/12/1988	10.57
08/19/1988	10.71
08/26/1988	10.67
09/02/1988	10.65
09/09/1988	10.53
09/16/1988	10.40
09/23/1988	10.40
09/30/1988	10.42
10/07/1988	10.38
10/14/1988	10.33
10/21/1988	10.28
10/28/1988	10.22
11/04/1988	10.12
11/11/1988	10.24
11/18/1988	10.31
11/25/1988	10.39
12/02/1988	10.44
12/09/1988	10.46
12/16/1988	10.71
12/23/1988	10.68
12/30/1988	10.77
01/06/1989	10.80
01/13/1989	10.81
01/20/1989	10.71
01/27/1989	10.60
02/03/1989	10.55
02/10/1989	10.56
02/17/1989	10.69
02/24/1989	10.78
03/03/1989	10.91
03/10/1989	10.86
03/17/1989	10.98
03/24/1989	11.22
03/31/1989	11.19
04/07/1989	11.07
04/14/1989	11.11
04/21/1989	10.99
04/28/1989	11.03
05/05/1989	10.97
05/12/1989	10.93
05/19/1989	10.69
05/26/1989	10.50
06/02/1989	10.48
06/09/1989	10.20
06/16/1989	10.04
06/23/1989	10.19
06/30/1989	10.07
07/07/1989	10.03
07/14/1989	9.82
07/21/1989	9.87
07/28/1989	9.81
08/04/1989	9.68
08/11/1989	9.96
08/18/1989	10.09
08/25/1989	10.21
09/01/1989	10.22
09/08/1989	10.17
09/15/1989	10.05
09/22/1989	10.03
09/29/1989	10.16
10/06/1989	10.10
10/13/1989	9.95
10/20/1989	9.92
10/27/1989	9.82
11/03/1989	9.82
11/10/1989	9.79
11/17/1989	9.72
11/24/1989	9.74
12/01/1989	9.74
12/08/1989	9.76
12/15/1989	9.75
12/22/1989	9.69
12/29/1989	9.78
01/05/1990	9.83
01/12/1990	9.80
01/19/1990	9.90
01/26/1990	10.05
02/02/1990	10.17
02/09/1990	10.21
02/16/1990	10.10
02/23/1990	10.31
03/02/1990	10.23
03/09/1990	10.29
03/16/1990	10.34
03/23/1990	10.26
03/30/1990	10.22
04/06/1990	10.26
04/13/1990	10.25
04/20/1990	10.41
04/27/1990	10.56
05/04/1990	10.67
05/11/1990	10.54
05/18/1990	10.37
05/25/1990	10.33
06/01/1990	10.29
06/08/1990	10.10
06/15/1990	10.12
06/22/1990	10.16
06/29/1990	10.15
07/06/1990	10.06
07/13/1990	10.11
07/20/1990	9.99
07/27/1990	9.98
08/03/1990	9.84
08/10/1990	10.08
08/17/1990	10.05
08/24/1990	10.29
08/31/1990	10.24
09/07/1990	10.19
09/14/1990	10.13
09/21/1990	10.16
09/28/1990	10.22
10/05/1990	10.08
10/12/1990	10.22
10/19/1990	10.24
10/26/1990	10.17
11/02/1990	10.13
11/09/1990	10.09
11/16/1990	10.02
11/23/1990	9.93
11/30/1990	9.90
12/07/1990	9.81
12/14/1990	9.56
12/21/1990	9.64
12/28/1990	9.68
01/04/1991	9.56
01/11/1991	9.63
01/18/1991	9.75
01/25/1991	9.61
02/01/1991	9.56
02/08/1991	9.36
02/15/1991	9.25
02/22/1991	9.29
03/01/1991	9.40
03/08/1991	9.49
03/15/1991	9.50
03/22/1991	9.59
03/29/1991	9.52
04/05/1991	9.49
04/12/1991	9.48
04/19/1991	9.47
04/26/1991	9.53
05/03/1991	9.47
05/10/1991	9.47
05/17/1991	9.50
05/24/1991	9.47
05/31/1991	9.45
06/07/1991	9.48
06/14/1991	9.66
06/21/1991	9.65
06/28/1991	9.67
07/05/1991	9.62
07/12/1991	9.64
07/19/1991	9.54
07/26/1991	9.50
08/02/1991	9.44
08/09/1991	9.27
08/16/1991	9.19
08/23/1991	9.17
08/30/1991	9.15
09/06/1991	9.14
09/13/1991	9.02
09/20/1991	8.95
09/27/1991	8.92
10/04/1991	8.87
10/11/1991	8.82
10/18/1991	8.82
10/25/1991	8.91
11/01/1991	8.78
11/08/1991	8.76
11/15/1991	8.69
11/22/1991	8.63
11/29/1991	8.70
12/06/1991	8.62
12/13/1991	8.53
12/20/1991	8.49
12/27/1991	8.35
01/03/1992	8.24
01/10/1992	8.23
01/17/1992	8.45
01/24/1992	8.56
01/31/1992	8.68
02/07/1992	8.67
02/14/1992	8.73
02/21/1992	8.82
02/28/1992	8.83
03/06/1992	8.85
03/13/1992	8.88
03/20/1992	9.03
03/27/1992	8.98
04/03/1992	8.96
04/10/1992	8.84
04/17/1992	8.76
04/24/1992	8.85
05/01/1992	8.84
05/08/1992	8.75
05/15/1992	8.64
05/22/1992	8.53
05/29/1992	8.60
06/05/1992	8.59
06/12/1992	8.54
06/19/1992	8.48
06/26/1992	8.43
07/03/1992	8.29
07/10/1992	8.13
07/17/1992	8.09
07/24/1992	8.08
07/31/1992	8.05
08/07/1992	8.06
08/14/1992	7.96
08/21/1992	7.87
08/28/1992	8.01
09/04/1992	7.94
09/11/1992	7.84
09/18/1992	7.89
09/24/1992	8.02
10/02/1992	7.93
10/09/1992	8.01
10/16/1992	8.06
10/23/1992	8.23
10/30/1992	8.21
11/06/1992	8.29
11/13/1992	8.32
11/20/1992	8.32
11/27/1992	8.29
12/04/1992	8.34
12/11/1992	8.23
12/18/1992	8.19
12/25/1992	8.13
12/31/1992	8.14
01/08/1993	8.07
01/15/1993	8.04
01/22/1993	8.00
01/29/1993	7.86
02/05/1993	7.80
02/12/1993	7.75
02/19/1993	7.65
02/26/1993	7.53
03/05/1993	7.44
03/12/1993	7.47
03/19/1993	7.57
03/26/1993	7.50
04/02/1993	7.53
04/09/1993	7.57
04/16/1993	7.45
04/23/1993	7.38
04/30/1993	7.43
05/07/1993	7.42
05/14/1993	7.42
05/21/1993	7.52
05/28/1993	7.50
06/04/1993	7.47
06/11/1993	7.48
06/18/1993	7.38
06/25/1993	7.34
07/02/1993	7.23
07/09/1993	7.19
07/16/1993	7.16
07/23/1993	7.20
07/30/1993	7.25
08/06/1993	7.21
08/13/1993	7.17
08/20/1993	7.10
08/27/1993	6.97
09/03/1993	6.93
09/10/1993	6.82
09/17/1993	6.96
09/24/1993	6.95
10/01/1993	6.89
10/08/1993	6.87
10/15/1993	6.81
10/22/1993	6.74
10/29/1993	6.86
11/05/1993	7.11
11/12/1993	7.12
11/19/1993	7.08
11/26/1993	7.31
12/04/1993	7.25
12/10/1993	7.14
12/17/1993	7.17
12/24/1993	7.17
12/31/1993	7.13
01/07/1994	7.23
01/14/1994	6.99
01/21/1994	7.05
01/28/1994	6.97
02/04/1994	6.97
02/11/1994	7.21
02/18/1994	7.11
02/25/1994	7.32
03/04/1994	7.51
03/11/1994	7.63
03/18/1994	7.76
03/25/1994	7.80
04/01/1994	8.04
04/08/1994	8.47
04/15/1994	8.26
04/22/1994	8.49
04/29/1994	8.32
05/06/1994	8.53
05/13/1994	8.77
05/20/1994	8.56
05/27/1994	8.53
06/03/1994	8.55
06/10/1994	8.25
06/17/1994	8.33
06/24/1994	8.46
07/01/1994	8.57
07/08/1994	8.68
07/15/1994	8.72
07/22/1994	8.53
07/29/1994	8.57
08/05/1994	8.38
08/12/1994	8.57
08/19/1994	8.54
08/26/1994	8.56
09/02/1994	8.48
09/09/1994	8.51
09/16/1994	8.66
09/23/1994	8.73
09/30/1994	8.82
10/07/1994	8.89
10/14/1994	8.93
10/21/1994	8.85
10/28/1994	9.03
11/04/1994	9.05
11/11/1994	9.19
11/18/1994	9.19
11/25/1994	9.25
12/02/1994	9.23
12/09/1994	9.15
12/16/1994	9.25
12/23/1994	9.18
12/30/1994	9.18
01/06/1995	9.22
01/13/1995	9.19
01/20/1995	9.05
01/27/1995	9.13
02/03/1995	8.94
02/10/1995	8.80
02/17/1995	8.84
02/24/1995	8.73
03/03/1995	8.53
03/10/1995	8.62
03/17/1995	8.38
03/24/1995	8.40
03/31/1995	8.38
04/07/1995	8.41
04/14/1995	8.37
04/21/1995	8.24
04/28/1995	8.26
05/05/1995	8.27
05/12/1995	7.87
05/19/1995	7.83
05/26/1995	7.85
06/02/1995	7.71
06/09/1995	7.51
06/16/1995	7.55
06/23/1995	7.53
06/30/1995	7.53
07/07/1995	7.63
07/14/1995	7.41
07/21/1995	7.60
07/28/1995	7.79
08/04/1995	7.82
