date	mrate	rate10y	rateff	spread	year	month
01/11/1974	8.53	6.98	9.76	1.55	1974	1
01/18/1974	8.55	6.99	9.77	1.56	1974	1
01/25/1974	8.52	7.01	9.60	1.51	1974	1
02/01/1974	8.48	7.01	9.47	1.47	1974	2
02/08/1974	8.46	6.94	9.13	1.52	1974	2
02/15/1974	8.46	6.93	8.93	1.53	1974	2
02/22/1974	8.42	6.96	9.07	1.46	1974	2
03/01/1974	8.41	7.01	8.81	1.40	1974	3
03/08/1974	8.41	7.08	8.98	1.33	1974	3
03/15/1974	8.40	7.12	9.03	1.28	1974	3
03/22/1974	8.40	7.28	9.33	1.12	1974	3
03/29/1974	8.41	7.38	9.61	1.03	1974	3
04/05/1974	8.44	7.47	9.93	0.97	1974	4
04/12/1974	8.53	7.48	10.02	1.05	1974	4
04/19/1974	8.63	7.46	10.36	1.17	1974	4
04/26/1974	8.73	7.58	10.78	1.15	1974	4
05/03/1974	8.87	7.63	11.17	1.24	1974	5
05/10/1974	8.98	7.66	11.29	1.32	1974	5
05/17/1974	8.97	7.55	11.46	1.42	1974	5
05/24/1974	9.01	7.54	10.95	1.47	1974	5
05/31/1974	9.03	7.51	11.54	1.52	1974	5
06/07/1974	9.06	7.51	11.45	1.55	1974	6
06/14/1974	9.11	7.49	11.60	1.62	1974	6
06/21/1974	9.07	7.53	11.85	1.54	1974	6
06/28/1974	9.10	7.62	11.97	1.48	1974	6
07/05/1974	9.14	7.68	13.55	1.46	1974	7
07/12/1974	9.19	7.82	13.34	1.37	1974	7
07/19/1974	9.37	7.88	13.04	1.49	1974	7
07/26/1974	9.42	7.77	12.60	1.65	1974	7
08/02/1974	9.47	7.90	12.29	1.57	1974	8
08/09/1974	9.50	7.99	12.09	1.51	1974	8
08/16/1974	9.60	8.04	12.02	1.56	1974	8
08/23/1974	9.62	8.05	12.23	1.57	1974	8
08/30/1974	9.74	8.14	11.84	1.60	1974	8
09/06/1974	9.88	8.11	11.64	1.77	1974	9
09/13/1974	9.92	8.07	11.48	1.85	1974	9
09/20/1974	10.00	8.07	11.41	1.93	1974	9
09/27/1974	10.03	7.94	11.12	2.09	1974	9
10/04/1974	10.02	7.99	11.04	2.03	1974	10
10/11/1974	9.96	7.94	10.43	2.02	1974	10
10/18/1974	9.99	7.87	10.11	2.12	1974	10
10/25/1974	9.94	7.84	9.81	2.10	1974	10
11/01/1974	9.87	7.82	9.72	2.05	1974	11
11/08/1974	9.81	7.76	9.63	2.05	1974	11
11/15/1974	9.81	7.72	9.37	2.09	1974	11
11/22/1974	9.73	7.61	9.34	2.12	1974	11
11/29/1974	9.72	7.63	9.46	2.09	1974	11
12/06/1974	9.69	7.67	9.02	2.02	1974	12
12/13/1974	9.63	7.39	8.86	2.24	1974	12
12/20/1974	9.58	7.28	8.72	2.30	1974	12
12/27/1974	9.56	7.40	8.45	2.16	1974	12
01/03/1975	9.60	7.41	7.35	2.19	1975	1
01/10/1975	9.49	7.38	7.70	2.11	1975	1
01/17/1975	9.43	7.51	7.22	1.92	1975	1
01/24/1975	9.35	7.57	7.17	1.78	1975	1
01/31/1975	9.29	7.58	6.99	1.71	1975	1
02/07/1975	9.20	7.42	6.46	1.78	1975	2
02/14/1975	9.13	7.42	6.28	1.71	1975	2
02/21/1975	9.07	7.27	6.29	1.80	1975	2
02/28/1975	9.02	7.44	6.15	1.58	1975	2
03/07/1975	9.00	7.50	5.88	1.50	1975	3
03/14/1975	8.89	7.57	5.44	1.32	1975	3
03/21/1975	8.86	7.80	5.38	1.06	1975	3
03/28/1975	8.86	8.05	5.53	0.81	1975	3
04/04/1975	8.83	8.12	5.59	0.71	1975	4
04/11/1975	8.81	8.21	5.28	0.60	1975	4
04/18/1975	8.80	8.19	5.44	0.61	1975	4
04/25/1975	8.84	8.28	5.54	0.56	1975	4
05/02/1975	8.92	8.28	5.71	0.64	1975	5
05/09/1975	8.88	8.09	5.42	0.79	1975	5
05/16/1975	8.92	8.04	5.20	0.88	1975	5
05/23/1975	8.92	8.00	5.13	0.92	1975	5
05/30/1975	8.89	8.06	5.14	0.83	1975	5
06/06/1975	8.89	7.97	5.24	0.92	1975	6
06/13/1975	8.90	7.71	5.15	1.19	1975	6
06/20/1975	8.88	7.79	5.31	1.09	1975	6
06/27/1975	8.90	7.95	5.72	0.95	1975	6
07/03/1975	8.88	8.01	6.31	0.87	1975	7
07/11/1975	8.90	8.02	6.06	0.88	1975	7
07/18/1975	8.89	8.02	5.93	0.87	1975	7
07/25/1975	8.89	8.09	6.14	0.80	1975	7
08/01/1975	8.89	8.17	6.25	0.72	1975	8
08/08/1975	8.89	8.40	6.09	0.49	1975	8
08/15/1975	8.93	8.42	6.08	0.51	1975	8
08/22/1975	8.98	8.45	6.15	0.53	1975	8
08/29/1975	9.02	8.35	6.23	0.67	1975	8
09/05/1975	9.08	8.30	6.06	0.78	1975	9
09/12/1975	9.16	8.47	6.15	0.69	1975	9
09/19/1975	9.14	8.52	6.28	0.62	1975	9
09/26/1975	9.14	8.37	6.29	0.77	1975	9
10/03/1975	9.20	8.44	6.36	0.76	1975	10
10/10/1975	9.21	8.26	6.06	0.95	1975	10
10/17/1975	9.21	8.13	5.82	1.08	1975	10
10/24/1975	9.26	8.03	5.73	1.23	1975	10
10/31/1975	9.24	7.96	5.65	1.28	1975	10
11/07/1975	9.19	7.93	5.17	1.26	1975	11
11/14/1975	9.16	7.97	5.24	1.19	1975	11
11/21/1975	9.12	8.14	5.24	0.98	1975	11
11/28/1975	9.11	8.15	5.28	0.96	1975	11
12/05/1975	9.11	8.12	5.25	0.99	1975	12
12/12/1975	9.11	8.19	5.26	0.92	1975	12
12/19/1975	9.08	7.97	5.17	1.11	1975	12
12/26/1975	9.09	7.83	5.18	1.26	1975	12
01/02/1976	9.10	7.75	5.18	1.35	1976	1
01/09/1976	9.07	7.69	5.12	1.38	1976	1
01/16/1976	9.01	7.70	4.76	1.31	1976	1
01/23/1976	9.00	7.77	4.81	1.23	1976	1
01/30/1976	8.90	7.81	4.80	1.09	1976	1
02/06/1976	8.86	7.84	4.82	1.02	1976	2
02/13/1976	8.83	7.85	4.73	0.98	1976	2
02/20/1976	8.81	7.79	4.70	1.02	1976	2
02/27/1976	8.75	7.71	4.80	1.04	1976	2
03/05/1976	8.77	7.83	4.95	0.94	1976	3
03/12/1976	8.75	7.76	4.86	0.99	1976	3
03/19/1976	8.75	7.75	4.77	1.00	1976	3
03/26/1976	8.75	7.66	4.79	1.09	1976	3
04/02/1976	8.70	7.66	4.84	1.04	1976	4
04/09/1976	8.70	7.57	4.73	1.13	1976	4
04/16/1976	8.75	7.49	4.77	1.26	1976	4
04/23/1976	8.75	7.52	4.78	1.23	1976	4
04/30/1976	8.75	7.62	4.93	1.13	1976	4
05/07/1976	8.75	7.74	5.03	1.01	1976	5
05/14/1976	8.75	7.93	5.02	0.82	1976	5
05/21/1976	8.78	7.95	5.28	0.83	1976	5
05/28/1976	8.78	7.96	5.50	0.82	1976	5
06/04/1976	8.78	7.92	5.54	0.86	1976	6
06/11/1976	8.83	7.88	5.44	0.95	1976	6
06/18/1976	8.88	7.84	5.47	1.04	1976	6
06/25/1976	8.90	7.81	5.48	1.09	1976	6
07/02/1976	8.93	7.86	5.58	1.07	1976	7
07/09/1976	8.93	7.82	5.37	1.11	1976	7
07/16/1976	8.93	7.78	5.27	1.15	1976	7
07/23/1976	8.90	7.86	5.30	1.04	1976	7
07/30/1976	8.98	7.86	5.28	1.12	1976	7
08/06/1976	9.00	7.83	5.36	1.17	1976	8
08/13/1976	9.00	7.82	5.25	1.18	1976	8
08/20/1976	9.00	7.75	5.29	1.25	1976	8
08/27/1976	9.00	7.71	5.28	1.29	1976	8
09/03/1976	9.00	7.67	5.28	1.33	1976	9
09/10/1976	8.97	7.65	5.25	1.32	1976	9
09/17/1976	8.97	7.60	5.22	1.37	1976	9
09/24/1976	8.97	7.54	5.21	1.43	1976	9
10/01/1976	8.90	7.55	5.32	1.35	1976	10
10/08/1976	8.95	7.44	5.17	1.51	1976	10
10/15/1976	8.95	7.34	5.02	1.61	1976	10
10/22/1976	8.95	7.38	4.97	1.57	1976	10
10/29/1976	8.90	7.46	4.99	1.44	1976	10
11/05/1976	8.85	7.40	5.06	1.45	1976	11
11/12/1976	8.80	7.45	4.98	1.35	1976	11
11/19/1976	8.80	7.33	5.02	1.47	1976	11
11/26/1976	8.80	7.12	4.90	1.68	1976	11
12/03/1976	8.80	6.96	4.78	1.84	1976	12
12/10/1976	8.80	6.88	4.67	1.92	1976	12
12/17/1976	8.80	6.89	4.68	1.91	1976	12
12/24/1976	8.78	6.85	4.63	1.93	1976	12
12/31/1976	8.78	6.83	4.66	1.95	1976	12
01/07/1977	8.70	6.92	4.47	1.78	1977	1
01/14/1977	8.73	7.24	4.55	1.49	1977	1
01/21/1977	8.73	7.29	4.65	1.44	1977	1
01/28/1977	8.73	7.36	4.72	1.37	1977	1
02/04/1977	8.68	7.40	4.60	1.28	1977	2
02/11/1977	8.70	7.35	4.66	1.35	1977	2
02/18/1977	8.65	7.35	4.70	1.30	1977	2
02/25/1977	8.65	7.47	4.74	1.18	1977	2
03/04/1977	8.65	7.46	4.68	1.19	1977	3
03/11/1977	8.70	7.49	4.63	1.21	1977	3
03/18/1977	8.70	7.45	4.62	1.25	1977	3
03/25/1977	8.70	7.45	4.77	1.25	1977	3
04/01/1977	8.70	7.45	4.74	1.25	1977	4
04/08/1977	8.75	7.45	4.60	1.30	1977	4
04/15/1977	8.75	7.32	4.65	1.43	1977	4
04/22/1977	8.78	7.31	4.71	1.47	1977	4
04/29/1977	8.78	7.40	4.82	1.38	1977	4
05/06/1977	8.78	7.46	5.15	1.32	1977	5
05/13/1977	8.83	7.50	5.31	1.33	1977	5
05/20/1977	8.85	7.46	5.34	1.39	1977	5
05/27/1977	8.85	7.41	5.45	1.44	1977	5
06/03/1977	8.85	7.38	5.36	1.47	1977	6
06/10/1977	8.85	7.35	5.31	1.50	1977	6
06/17/1977	8.85	7.24	5.37	1.61	1977	6
06/24/1977	8.88	7.25	5.43	1.63	1977	6
07/01/1977	8.95	7.22	5.43	1.73	1977	7
07/08/1977	8.93	7.33	5.35	1.60	1977	7
07/15/1977	8.95	7.31	5.33	1.64	1977	7
07/22/1977	8.95	7.32	5.35	1.63	1977	7
07/29/1977	8.93	7.35	5.45	1.58	1977	7
08/05/1977	8.95	7.43	5.80	1.52	1977	8
08/12/1977	8.95	7.45	5.70	1.50	1977	8
08/19/1977	8.93	7.44	5.94	1.49	1977	8
08/26/1977	8.93	7.34	5.99	1.59	1977	8
09/02/1977	8.88	7.27	6.02	1.61	1977	9
09/09/1977	8.90	7.29	5.97	1.61	1977	9
09/16/1977	8.90	7.35	6.05	1.55	1977	9
09/23/1977	8.90	7.36	6.10	1.54	1977	9
09/30/1977	8.90	7.40	6.35	1.50	1977	9
10/07/1977	8.93	7.43	6.41	1.50	1977	10
10/14/1977	8.93	7.54	6.41	1.39	1977	10
10/21/1977	8.93	7.55	6.50	1.38	1977	10
10/28/1977	8.90	7.57	6.49	1.33	1977	10
11/04/1977	8.90	7.65	6.50	1.25	1977	11
11/11/1977	8.93	7.60	6.58	1.33	1977	11
11/18/1977	8.93	7.55	6.42	1.38	1977	11
11/25/1977	8.93	7.54	6.51	1.39	1977	11
12/02/1977	8.95	7.56	6.55	1.39	1977	12
12/09/1977	8.95	7.63	6.51	1.32	1977	12
12/16/1977	8.95	7.66	6.49	1.29	1977	12
12/23/1977	8.95	7.73	6.54	1.22	1977	12
12/30/1977	9.00	7.79	6.65	1.21	1977	12
01/06/1978	9.00	7.83	6.69	1.17	1978	1
01/13/1978	9.03	8.01	6.58	1.02	1978	1
01/20/1978	8.98	7.98	6.78	1.00	1978	1
01/27/1978	9.05	7.98	6.72	1.07	1978	1
02/03/1978	9.13	7.96	6.80	1.17	1978	2
02/10/1978	9.15	8.00	6.75	1.15	1978	2
02/17/1978	9.15	8.08	6.76	1.07	1978	2
02/24/1978	9.15	8.08	6.78	1.07	1978	2
03/03/1978	9.15	8.04	6.80	1.11	1978	3
03/10/1978	9.15	8.03	6.76	1.12	1978	3
03/17/1978	9.23	8.00	6.77	1.23	1978	3
03/24/1978	9.23	7.98	6.77	1.25	1978	3
03/31/1978	9.25	8.12	6.82	1.13	1978	3
04/07/1978	9.28	8.14	6.86	1.14	1978	4
04/14/1978	9.33	8.15	6.74	1.18	1978	4
04/21/1978	9.38	8.12	6.78	1.26	1978	4
04/28/1978	9.43	8.21	7.00	1.22	1978	4
05/05/1978	9.48	8.28	7.27	1.20	1978	5
05/12/1978	9.55	8.35	7.32	1.20	1978	5
05/19/1978	9.58	8.35	7.34	1.23	1978	5
05/26/1978	9.68	8.39	7.43	1.29	1978	5
06/02/1978	9.68	8.41	7.36	1.27	1978	6
06/09/1978	9.70	8.38	7.47	1.32	1978	6
06/16/1978	9.73	8.41	7.49	1.32	1978	6
06/23/1978	9.70	8.49	7.53	1.21	1978	6
06/30/1978	9.73	8.59	7.78	1.14	1978	6
07/07/1978	9.73	8.62	7.72	1.11	1978	7
07/14/1978	9.73	8.68	7.72	1.05	1978	7
07/21/1978	9.75	8.65	7.94	1.10	1978	7
07/28/1978	9.75	8.63	7.88	1.12	1978	7
08/04/1978	9.78	8.46	7.89	1.32	1978	8
08/11/1978	9.78	8.39	7.83	1.39	1978	8
08/18/1978	9.78	8.48	7.87	1.30	1978	8
08/25/1978	9.80	8.37	8.14	1.43	1978	8
09/01/1978	9.75	8.38	8.28	1.37	1978	9
09/08/1978	9.75	8.34	8.30	1.41	1978	9
09/15/1978	9.75	8.31	8.33	1.44	1978	9
09/22/1978	9.75	8.46	8.36	1.29	1978	9
09/29/1978	9.78	8.55	8.62	1.23	1978	9
10/06/1978	9.85	8.58	8.85	1.27	1978	10
10/13/1978	9.85	8.54	8.71	1.31	1978	10
10/20/1978	9.85	8.62	8.78	1.23	1978	10
10/27/1978	9.88	8.69	9.24	1.19	1978	10
11/03/1978	9.90	8.82	9.29	1.08	1978	11
11/10/1978	10.05	8.86	9.77	1.19	1978	11
11/17/1978	10.20	8.77	9.68	1.43	1978	11
11/24/1978	10.28	8.78	9.68	1.50	1978	11
12/01/1978	10.30	8.85	9.85	1.45	1978	12
12/08/1978	10.35	8.86	9.87	1.49	1978	12
12/15/1978	10.35	8.95	9.79	1.40	1978	12
12/22/1978	10.35	9.14	9.75	1.21	1978	12
12/29/1978	10.38	9.14	10.25	1.24	1978	12
01/05/1979	10.38	9.14	10.59	1.24	1979	1
01/12/1979	10.38	9.15	9.97	1.23	1979	1
01/19/1979	10.40	9.16	10.05	1.24	1979	1
01/26/1979	10.40	9.04	10.05	1.36	1979	1
02/02/1979	10.40	8.94	10.12	1.46	1979	2
02/09/1979	10.43	9.05	10.06	1.38	1979	2
02/16/1979	10.40	9.12	10.15	1.28	1979	2
02/23/1979	10.40	9.17	9.97	1.23	1979	2
03/02/1979	10.43	9.18	10.06	1.25	1979	3
03/09/1979	10.40	9.11	10.07	1.29	1979	3
03/16/1979	10.40	9.12	10.21	1.28	1979	3
03/23/1979	10.45	9.12	10.09	1.33	1979	3
03/30/1979	10.45	9.09	10.00	1.36	1979	3
04/06/1979	10.48	9.09	9.95	1.39	1979	4
04/13/1979	10.48	9.18	9.93	1.30	1979	4
04/20/1979	10.50	9.17	9.96	1.33	1979	4
04/27/1979	10.53	9.25	10.09	1.28	1979	4
05/04/1979	10.60	9.36	10.22	1.24	1979	5
05/11/1979	10.68	9.37	10.25	1.31	1979	5
05/18/1979	10.73	9.28	10.25	1.45	1979	5
05/25/1979	10.75	9.11	10.17	1.64	1979	5
06/01/1979	10.90	9.04	10.28	1.86	1979	6
06/08/1979	11.03	8.97	10.23	2.06	1979	6
06/15/1979	11.05	8.88	10.23	2.17	1979	6
06/22/1979	11.10	8.95	10.28	2.15	1979	6
06/29/1979	11.10	8.83	10.32	2.27	1979	6
07/06/1979	11.13	8.79	10.42	2.34	1979	7
07/13/1979	11.08	8.93	10.28	2.15	1979	7
07/20/1979	11.08	9.01	10.35	2.07	1979	7
07/27/1979	11.08	9.01	10.63	2.07	1979	7
08/03/1979	11.08	8.97	10.75	2.11	1979	8
08/10/1979	11.08	8.94	10.67	2.14	1979	8
08/17/1979	11.08	9.00	10.80	2.08	1979	8
08/24/1979	11.10	9.06	11.04	2.04	1979	8
08/31/1979	11.13	9.17	11.16	1.96	1979	8
09/07/1979	11.20	9.33	11.02	1.87	1979	9
09/14/1979	11.30	9.31	11.30	1.99	1979	9
09/21/1979	11.35	9.32	11.37	2.03	1979	9
09/28/1979	11.35	9.38	11.61	1.97	1979	9
10/05/1979	11.35	9.53	11.91	1.82	1979	10
10/12/1979	11.45	10.09	12.00	1.36	1979	10
10/19/1979	11.75	10.37	13.22	1.38	1979	10
10/26/1979	12.00	10.89	15.14	1.11	1979	10
11/02/1979	12.80	10.78	15.61	2.02	1979	11
11/09/1979	12.85	10.87	13.77	1.98	1979	11
11/16/1979	12.80	10.69	13.30	2.11	1979	11
11/23/1979	12.80	10.71	13.10	2.09	1979	11
11/30/1979	12.90	10.34	12.46	2.56	1979	11
12/07/1979	12.90	10.29	13.77	2.61	1979	12
12/14/1979	12.90	10.45	13.79	2.45	1979	12
12/21/1979	12.90	10.37	13.90	2.53	1979	12
12/28/1979	12.90	10.45	13.49	2.45	1979	12
01/04/1980	12.85	10.52	14.04	2.33	1980	1
01/11/1980	12.90	10.59	13.94	2.31	1980	1
01/18/1980	12.87	10.71	13.91	2.16	1980	1
01/25/1980	12.89	10.95	13.77	1.94	1980	1
02/01/1980	12.85	11.19	13.54	1.66	1980	2
02/08/1980	12.85	11.71	12.80	1.14	1980	2
02/15/1980	12.88	12.01	13.64	0.87	1980	2
02/22/1980	13.03	12.99	14.87	0.04	1980	2
02/29/1980	13.59	13.20	14.62	0.39	1980	2
03/07/1980	14.00	12.94	16.17	1.06	1980	3
03/14/1980	15.40	12.54	16.45	2.86	1980	3
03/21/1980	15.70	12.54	16.24	3.16	1980	3
03/28/1980	16.03	13.00	17.78	3.03	1980	3
04/04/1980	16.35	12.62	19.39	3.73	1980	4
04/11/1980	16.35	12.05	19.04	4.30	1980	4
04/18/1980	16.35	11.25	18.35	5.10	1980	4
04/25/1980	16.25	10.90	17.56	5.35	1980	4
05/02/1980	15.90	10.57	15.12	5.33	1980	5
05/09/1980	14.68	10.08	12.96	4.60	1980	5
05/16/1980	14.15	10.25	10.85	3.90	1980	5
05/23/1980	13.38	10.16	10.71	3.22	1980	5
05/30/1980	13.20	10.14	9.46	3.06	1980	5
06/06/1980	13.06	10.07	10.74	2.99	1980	6
06/13/1980	12.85	9.66	9.68	3.19	1980	6
06/20/1980	12.58	9.51	8.99	3.07	1980	6
06/27/1980	12.35	9.80	9.08	2.55	1980	6
07/04/1980	12.18	10.11	9.41	2.07	1980	7
07/11/1980	12.23	10.18	9.26	2.05	1980	7
07/18/1980	12.18	10.20	8.98	1.98	1980	7
07/25/1980	12.18	10.20	8.68	1.98	1980	7
08/01/1980	12.25	10.59	8.98	1.66	1980	8
08/08/1980	12.25	10.75	9.60	1.50	1980	8
08/15/1980	12.55	10.93	8.85	1.62	1980	8
08/22/1980	12.80	11.20	9.35	1.60	1980	8
08/29/1980	12.95	11.59	10.03	1.36	1980	8
09/05/1980	13.03	11.19	10.47	1.84	1980	9
09/12/1980	13.08	11.26	10.22	1.82	1980	9
09/19/1980	13.25	11.51	10.64	1.74	1980	9
09/26/1980	13.43	11.82	10.85	1.61	1980	9
10/03/1980	13.60	11.79	12.38	1.81	1980	10
10/10/1980	13.73	11.42	12.59	2.31	1980	10
