name	id	value	code	date	type
"Albany-Schenectady-Troy, NY"	2015.IV	201.9	metro	12/31/2015	level
"Albany-Schenectady-Troy, NY"	2016.I	193	metro	3/30/2016	level
"Albany-Schenectady-Troy, NY"	2016.II	202.7	metro	6/30/2016	level
"Albany-Schenectady-Troy, NY"	Q2-Q2	-0.018877057	metro	6/30/2016	pc
"Albuquerque, NM"	2015.II	184	metro	6/30/2015	level
"Albuquerque, NM"	2015.III	185.6	metro	9/30/2015	level
"Albuquerque, NM"	2015.IV	180.7	metro	12/31/2015	level
"Albuquerque, NM"	2016.I	179.2	metro	3/30/2016	level
"Albuquerque, NM"	2016.II	193.5	metro	6/30/2016	level
"Albuquerque, NM"	Q2-Q2	0.051630435	metro	6/30/2016	pc
"Allentown-Bethlehem-Easton, PA-NJ"	2015.II	188.9	metro	6/30/2015	level
"Allentown-Bethlehem-Easton, PA-NJ"	2015.III	189.8	metro	9/30/2015	level
"Allentown-Bethlehem-Easton, PA-NJ"	2015.IV	177	metro	12/31/2015	level
"Allentown-Bethlehem-Easton, PA-NJ"	2016.I	175.4	metro	3/30/2016	level
"Allentown-Bethlehem-Easton, PA-NJ"	2016.II	185.7	metro	6/30/2016	level
"Allentown-Bethlehem-Easton, PA-NJ"	Q2-Q2	-0.01694018	metro	6/30/2016	pc
"Amarillo, TX"	2015.II	153.3	metro	6/30/2015	level
"Amarillo, TX"	2015.III	157.4	metro	9/30/2015	level
"Amarillo, TX"	2015.IV	141.3	metro	12/31/2015	level
"Amarillo, TX"	2016.I	145.2	metro	3/30/2016	level
"Amarillo, TX"	2016.II	158.3	metro	6/30/2016	level
"Amarillo, TX"	Q2-Q2	0.032615786	metro	6/30/2016	pc
"Anaheim-Santa Ana-Irvine, CA"	2015.II	713.2	metro	6/30/2015	level
"Anaheim-Santa Ana-Irvine, CA"	2015.III	715.3	metro	9/30/2015	level
"Anaheim-Santa Ana-Irvine, CA"	2015.IV	708.7	metro	12/31/2015	level
"Anaheim-Santa Ana-Irvine, CA"	2016.I	713.7	metro	3/30/2016	level
"Anaheim-Santa Ana-Irvine, CA"	2016.II	742.2	metro	6/30/2016	level
"Anaheim-Santa Ana-Irvine, CA"	Q2-Q2	0.040661806	metro	6/30/2016	pc
"Ann Arbor, MI"	2015.II	241.1	metro	6/30/2015	level
"Ann Arbor, MI"	2015.III	233	metro	9/30/2015	level
"Ann Arbor, MI"	2015.IV	221.4	metro	12/31/2015	level
"Ann Arbor, MI"	2016.I	224.9	metro	3/30/2016	level
"Ann Arbor, MI"	2016.II	254.2	metro	6/30/2016	level
"Ann Arbor, MI"	Q2-Q2	0.054334301	metro	6/30/2016	pc
"Appleton, WI"	2015.II	150.4	metro	6/30/2015	level
"Appleton, WI"	2015.III	151.4	metro	9/30/2015	level
"Appleton, WI"	2015.IV	138.7	metro	12/31/2015	level
"Appleton, WI"	2016.I	138.6	metro	3/30/2016	level
"Appleton, WI"	2016.II	156.1	metro	6/30/2016	level
"Appleton, WI"	Q2-Q2	0.037898936	metro	6/30/2016	pc
"Atlanta-Sandy Springs-Marietta, GA"	2015.II	181.5	metro	6/30/2015	level
"Atlanta-Sandy Springs-Marietta, GA"	2015.III	178.9	metro	9/30/2015	level
"Atlanta-Sandy Springs-Marietta, GA"	2015.IV	169.2	metro	12/31/2015	level
"Atlanta-Sandy Springs-Marietta, GA"	2016.I	167.8	metro	3/30/2016	level
"Atlanta-Sandy Springs-Marietta, GA"	2016.II	192	metro	6/30/2016	level
"Atlanta-Sandy Springs-Marietta, GA"	Q2-Q2	0.05785124	metro	6/30/2016	pc
"Atlantic City-Hammonton, NJ"	2015.II	214.6	metro	6/30/2015	level
"Atlantic City-Hammonton, NJ"	2015.III	205.9	metro	9/30/2015	level
"Atlantic City-Hammonton, NJ"	2015.IV	196.2	metro	12/31/2015	level
"Atlantic City-Hammonton, NJ"	2016.I	179.6	metro	3/30/2016	level
"Atlantic City-Hammonton, NJ"	2016.II	186.4	metro	6/30/2016	level
"Atlantic City-Hammonton, NJ"	Q2-Q2	-0.131407269	metro	6/30/2016	pc
"Austin-Round Rock, TX"	2015.II	270.9	metro	6/30/2015	level
"Austin-Round Rock, TX"	2015.III	263.7	metro	9/30/2015	level
"Austin-Round Rock, TX"	2015.IV	265	metro	12/31/2015	level
"Austin-Round Rock, TX"	2016.I	269.7	metro	3/30/2016	level
"Austin-Round Rock, TX"	2016.II	289.1	metro	6/30/2016	level
"Austin-Round Rock, TX"	Q2-Q2	0.067183463	metro	6/30/2016	pc
"Baltimore-Columbia-Towson, MD"	2015.II	254.5	metro	6/30/2015	level
"Baltimore-Columbia-Towson, MD"	2015.III	252.3	metro	9/30/2015	level
"Baltimore-Columbia-Towson, MD"	2015.IV	233.5	metro	12/31/2015	level
"Baltimore-Columbia-Towson, MD"	2016.I	229.2	metro	3/30/2016	level
"Baltimore-Columbia-Towson, MD"	2016.II	265.8	metro	6/30/2016	level
"Baltimore-Columbia-Towson, MD"	Q2-Q2	0.044400786	metro	6/30/2016	pc
"Barnstable Town, MA"	2015.II	360.7	metro	6/30/2015	level
"Barnstable Town, MA"	2015.III	364.1	metro	9/30/2015	level
"Barnstable Town, MA"	2015.IV	366.2	metro	12/31/2015	level
"Barnstable Town, MA"	2016.I	339.1	metro	3/30/2016	level
"Barnstable Town, MA"	2016.II	367.4	metro	6/30/2016	level
"Barnstable Town, MA"	Q2-Q2	0.018574993	metro	6/30/2016	pc
"Baton Rouge, LA"	2015.II	184.8	metro	6/30/2015	level
"Baton Rouge, LA"	2015.III	186.9	metro	9/30/2015	level
"Baton Rouge, LA"	2015.IV	177	metro	12/31/2015	level
"Baton Rouge, LA"	2016.I	176.8	metro	3/30/2016	level
"Baton Rouge, LA"	2016.II	188.7	metro	6/30/2016	level
"Baton Rouge, LA"	Q2-Q2	0.021103896	metro	6/30/2016	pc
"Beaumont-Port Arthur, TX"	2015.II	140.5	metro	6/30/2015	level
"Beaumont-Port Arthur, TX"	2015.III	138.5	metro	9/30/2015	level
"Beaumont-Port Arthur, TX"	2015.IV	138.3	metro	12/31/2015	level
"Beaumont-Port Arthur, TX"	2016.I	135.4	metro	3/30/2016	level
"Beaumont-Port Arthur, TX"	2016.II	143.5	metro	6/30/2016	level
"Beaumont-Port Arthur, TX"	Q2-Q2	0.021352313	metro	6/30/2016	pc
"Binghamton, NY"	2015.II	117.5	metro	6/30/2015	level
"Binghamton, NY"	2015.III	121.1	metro	9/30/2015	level
"Binghamton, NY"	2015.IV	110.9	metro	12/31/2015	level
"Binghamton, NY"	2016.I	106	metro	3/30/2016	level
"Binghamton, NY"	2016.II	105.5	metro	6/30/2016	level
"Binghamton, NY"	Q2-Q2	-0.10212766	metro	6/30/2016	pc
"Birmingham-Hoover, AL"	2015.II	191.5	metro	6/30/2015	level
"Birmingham-Hoover, AL"	2015.III	180.9	metro	9/30/2015	level
"Birmingham-Hoover, AL"	2015.IV	172.4	metro	12/31/2015	level
"Birmingham-Hoover, AL"	2016.I	173.2	metro	3/30/2016	level
"Birmingham-Hoover, AL"	2016.II	195.2	metro	6/30/2016	level
"Birmingham-Hoover, AL"	Q2-Q2	0.019321149	metro	6/30/2016	pc
"Bismarck, ND"	2015.II	252.7	metro	6/30/2015	level
"Bismarck, ND"	2015.III	248.5	metro	9/30/2015	level
"Bismarck, ND"	2015.IV	245.3	metro	12/31/2015	level
"Bismarck, ND"	2016.I	237.9	metro	3/30/2016	level
"Bismarck, ND"	2016.II	251.9	metro	6/30/2016	level
"Bismarck, ND"	Q2-Q2	-0.003165809	metro	6/30/2016	pc
"Bloomington, IL"	2015.II	156	metro	6/30/2015	level
"Bloomington, IL"	2015.III	158.6	metro	9/30/2015	level
"Bloomington, IL"	2015.IV	146.2	metro	12/31/2015	level
"Bloomington, IL"	2016.I	146	metro	3/30/2016	level
"Bloomington, IL"	2016.II	153.7	metro	6/30/2016	level
"Bloomington, IL"	Q2-Q2	-0.01474359	metro	6/30/2016	pc
"Boise City-Nampa, ID"	2015.II	190.1	metro	6/30/2015	level
"Boise City-Nampa, ID"	2015.III	192	metro	9/30/2015	level
"Boise City-Nampa, ID"	2015.IV	189.7	metro	12/31/2015	level
"Boise City-Nampa, ID"	2016.I	190	metro	3/30/2016	level
"Boise City-Nampa, ID"	2016.II	208.2	metro	6/30/2016	level
"Boise City-Nampa, ID"	Q2-Q2	0.095213046	metro	6/30/2016	pc
"Boston-Cambridge-Newton, MA-NH"	2015.II	414.6	metro	6/30/2015	level
"Boston-Cambridge-Newton, MA-NH"	2015.III	420.8	metro	9/30/2015	level
"Boston-Cambridge-Newton, MA-NH"	2015.IV	393.6	metro	12/31/2015	level
"Boston-Cambridge-Newton, MA-NH"	2016.I	378.5	metro	3/30/2016	level
"Boston-Cambridge-Newton, MA-NH"	2016.II	435.8	metro	6/30/2016	level
"Boston-Cambridge-Newton, MA-NH"	Q2-Q2	0.051133623	metro	6/30/2016	pc
"Boulder, CO"	2015.II	463.7	metro	6/30/2015	level
"Boulder, CO"	2015.III	449	metro	9/30/2015	level
"Boulder, CO"	2015.IV	469.9	metro	12/31/2015	level
"Boulder, CO"	2016.I	479.7	metro	3/30/2016	level
"Boulder, CO"	2016.II	549.6	metro	6/30/2016	level
"Boulder, CO"	Q2-Q2	0.185249083	metro	6/30/2016	pc
"Bowling Green, KY"	2015.II	150.7	metro	6/30/2015	level
"Bowling Green, KY"	2015.III	148.6	metro	9/30/2015	level
"Bowling Green, KY"	2015.IV	147.3	metro	12/31/2015	level
"Bowling Green, KY"	2016.I	142.1	metro	3/30/2016	level
"Bowling Green, KY"	2016.II	159.1	metro	6/30/2016	level
"Bowling Green, KY"	Q2-Q2	0.055739881	metro	6/30/2016	pc
"Bridgeport-Stamford-Norwalk, CT"	2015.II	403.5	metro	6/30/2015	level
"Bridgeport-Stamford-Norwalk, CT"	2015.III	388.7	metro	9/30/2015	level
"Bridgeport-Stamford-Norwalk, CT"	2015.IV	361.1	metro	12/31/2015	level
"Bridgeport-Stamford-Norwalk, CT"	2016.I	356.7	metro	3/30/2016	level
"Bridgeport-Stamford-Norwalk, CT"	2016.II	380.5	metro	6/30/2016	level
"Bridgeport-Stamford-Norwalk, CT"	Q2-Q2	-0.057001239	metro	6/30/2016	pc
"Buffalo-Cheektowaga-Niagara Falls, NY"	2015.II	129.8	metro	6/30/2015	level
"Buffalo-Cheektowaga-Niagara Falls, NY"	2015.III	136.8	metro	9/30/2015	level
"Buffalo-Cheektowaga-Niagara Falls, NY"	2015.IV	127.8	metro	12/31/2015	level
"Buffalo-Cheektowaga-Niagara Falls, NY"	2016.I	124.5	metro	3/30/2016	level
"Buffalo-Cheektowaga-Niagara Falls, NY"	2016.II	129.6	metro	6/30/2016	level
"Buffalo-Cheektowaga-Niagara Falls, NY"	Q2-Q2	-0.001540832	metro	6/30/2016	pc
"Burlington-South Burlington, VT"	2015.II	293.3	metro	6/30/2015	level
"Burlington-South Burlington, VT"	2015.III	290.7	metro	9/30/2015	level
"Burlington-South Burlington, VT"	2015.IV	291.6	metro	12/31/2015	level
"Burlington-South Burlington, VT"	2016.I	296.5	metro	3/30/2016	level
"Burlington-South Burlington, VT"	2016.II	313.2	metro	6/30/2016	level
"Burlington-South Burlington, VT"	Q2-Q2	0.067848619	metro	6/30/2016	pc
"Canton-Massillon, OH"	2015.II	120.6	metro	6/30/2015	level
"Canton-Massillon, OH"	2015.III	125	metro	9/30/2015	level
"Canton-Massillon, OH"	2015.IV	119.6	metro	12/31/2015	level
"Canton-Massillon, OH"	2016.I	110.4	metro	3/30/2016	level
"Canton-Massillon, OH"	2016.II	128.2	metro	6/30/2016	level
"Canton-Massillon, OH"	Q2-Q2	0.063018242	metro	6/30/2016	pc
"Cape Coral-Fort Myers, FL"	2015.II	215	metro	6/30/2015	level
"Cape Coral-Fort Myers, FL"	2015.III	207.5	metro	9/30/2015	level
"Cape Coral-Fort Myers, FL"	2015.IV	220	metro	12/31/2015	level
"Cape Coral-Fort Myers, FL"	2016.I	233.705	metro	3/30/2016	level
"Cape Coral-Fort Myers, FL"	2016.II	230	metro	6/30/2016	level
"Cape Coral-Fort Myers, FL"	Q2-Q2	0.069767442	metro	6/30/2016	pc
"Cape Girardeau, MO-IL"	2015.II	135.2	metro	6/30/2015	level
"Cape Girardeau, MO-IL"	2015.III	139.7	metro	9/30/2015	level
"Cape Girardeau, MO-IL"	2015.IV	136.6	metro	12/31/2015	level
"Cape Girardeau, MO-IL"	2016.I	136.3	metro	3/30/2016	level
"Cape Girardeau, MO-IL"	2016.II	148.8	metro	6/30/2016	level
"Cape Girardeau, MO-IL"	Q2-Q2	0.100591716	metro	6/30/2016	pc
"Cedar Rapids, IA"	2015.II	150	metro	6/30/2015	level
"Cedar Rapids, IA"	2015.III	157	metro	9/30/2015	level
"Cedar Rapids, IA"	2015.IV	150	metro	12/31/2015	level
"Cedar Rapids, IA"	2016.I	140	metro	3/30/2016	level
"Cedar Rapids, IA"	2016.II	157	metro	6/30/2016	level
"Cedar Rapids, IA"	Q2-Q2	0.046666667	metro	6/30/2016	pc
"Champaign-Urbana, IL"	2015.II	145.2	metro	6/30/2015	level
"Champaign-Urbana, IL"	2015.III	149.4	metro	9/30/2015	level
"Champaign-Urbana, IL"	2015.IV	131.7	metro	12/31/2015	level
"Champaign-Urbana, IL"	2016.I	140.4	metro	3/30/2016	level
"Champaign-Urbana, IL"	2016.II	145.2	metro	6/30/2016	level
"Champaign-Urbana, IL"	Q2-Q2	0	metro	6/30/2016	pc
"Charleston-North Charleston, SC"	2015.II	244.5	metro	6/30/2015	level
"Charleston-North Charleston, SC"	2015.III	242.9	metro	9/30/2015	level
"Charleston-North Charleston, SC"	2015.IV	246.4	metro	12/31/2015	level
"Charleston-North Charleston, SC"	2016.I	240.5	metro	3/30/2016	level
"Charleston-North Charleston, SC"	2016.II	260.1	metro	6/30/2016	level
"Charleston-North Charleston, SC"	Q2-Q2	0.063803681	metro	6/30/2016	pc
"Charleston, WV"	2015.II	139.2	metro	6/30/2015	level
"Charleston, WV"	2015.III	139.6	metro	9/30/2015	level
"Charleston, WV"	2015.IV	132	metro	12/31/2015	level
"Charleston, WV"	2016.I	129.3	metro	3/30/2016	level
"Charleston, WV"	2016.II	141.8	metro	6/30/2016	level
"Charleston, WV"	Q2-Q2	0.018678161	metro	6/30/2016	pc
"Charlotte-Concord-Gastonia, NC-SC"	2015.II	206.6	metro	6/30/2015	level
"Charlotte-Concord-Gastonia, NC-SC"	2015.III	198.4	metro	9/30/2015	level
"Charlotte-Concord-Gastonia, NC-SC"	2015.IV	186.6	metro	12/31/2015	level
"Charlotte-Concord-Gastonia, NC-SC"	2016.I	184.8	metro	3/30/2016	level
"Charlotte-Concord-Gastonia, NC-SC"	2016.II	218.1	metro	6/30/2016	level
"Charlotte-Concord-Gastonia, NC-SC"	Q2-Q2	0.055663117	metro	6/30/2016	pc
"Chattanooga, TN-GA"	2015.II	155.2	metro	6/30/2015	level
"Chattanooga, TN-GA"	2015.III	163.7	metro	9/30/2015	level
"Chattanooga, TN-GA"	2015.IV	157.2	metro	12/31/2015	level
"Chattanooga, TN-GA"	2016.I	152.7	metro	3/30/2016	level
"Chattanooga, TN-GA"	2016.II	167.4	metro	6/30/2016	level
"Chattanooga, TN-GA"	Q2-Q2	0.078608247	metro	6/30/2016	pc
"Chicago-Naperville-Elgin, IL-IN-WI"	2015.II	230.5	metro	6/30/2015	level
"Chicago-Naperville-Elgin, IL-IN-WI"	2015.III	229.3	metro	9/30/2015	level
"Chicago-Naperville-Elgin, IL-IN-WI"	2015.IV	209.8	metro	12/31/2015	level
"Chicago-Naperville-Elgin, IL-IN-WI"	2016.I	208.6	metro	3/30/2016	level
"Chicago-Naperville-Elgin, IL-IN-WI"	2016.II	246.4	metro	6/30/2016	level
"Chicago-Naperville-Elgin, IL-IN-WI"	Q2-Q2	0.068980477	metro	6/30/2016	pc
"Cincinnati, OH-KY-IN"	2015.II	151.9	metro	6/30/2015	level
"Cincinnati, OH-KY-IN"	2015.III	150.3	metro	9/30/2015	level
"Cincinnati, OH-KY-IN"	2015.IV	136.6	metro	12/31/2015	level
"Cincinnati, OH-KY-IN"	2016.I	137.8	metro	3/30/2016	level
"Cincinnati, OH-KY-IN"	2016.II	160.6	metro	6/30/2016	level
"Cincinnati, OH-KY-IN"	Q2-Q2	0.057274523	metro	6/30/2016	pc
"Cleveland-Elyria, OH"	2015.II	129.7	metro	6/30/2015	level
"Cleveland-Elyria, OH"	2015.III	132	metro	9/30/2015	level
"Cleveland-Elyria, OH"	2015.IV	121.8	metro	12/31/2015	level
"Cleveland-Elyria, OH"	2016.I	111.3	metro	3/30/2016	level
"Cleveland-Elyria, OH"	2016.II	138.1	metro	6/30/2016	level
"Cleveland-Elyria, OH"	Q2-Q2	0.064764842	metro	6/30/2016	pc
"Colorado Springs, CO"	2015.II	244.8	metro	6/30/2015	level
"Colorado Springs, CO"	2015.III	243.1	metro	9/30/2015	level
"Colorado Springs, CO"	2015.IV	237.6	metro	12/31/2015	level
"Colorado Springs, CO"	2016.I	239.8	metro	3/30/2016	level
"Colorado Springs, CO"	2016.II	259.3	metro	6/30/2016	level
"Colorado Springs, CO"	Q2-Q2	0.059232026	metro	6/30/2016	pc
"Columbia, MO"	2015.II	176.6	metro	6/30/2015	level
"Columbia, MO"	2015.III	171.4	metro	9/30/2015	level
"Columbia, MO"	2015.IV	160.5	metro	12/31/2015	level
"Columbia, MO"	2016.I	163.2	metro	3/30/2016	level
"Columbia, MO"	2016.II	174.6	metro	6/30/2016	level
"Columbia, MO"	Q2-Q2	-0.011325028	metro	6/30/2016	pc
"Columbia, SC"	2015.II	157.3	metro	6/30/2015	level
"Columbia, SC"	2015.III	157	metro	9/30/2015	level
"Columbia, SC"	2015.IV	151.6	metro	12/31/2015	level
"Columbia, SC"	2016.I	155.6	metro	3/30/2016	level
"Columbia, SC"	2016.II	165.5	metro	6/30/2016	level
"Columbia, SC"	Q2-Q2	0.052129688	metro	6/30/2016	pc
"Columbus, OH"	2015.II	172	metro	6/30/2015	level
"Columbus, OH"	2015.III	170.8	metro	9/30/2015	level
"Columbus, OH"	2015.IV	157.7	metro	12/31/2015	level
"Columbus, OH"	2016.I	160.7	metro	3/30/2016	level
"Columbus, OH"	2016.II	181.7	metro	6/30/2016	level
"Columbus, OH"	Q2-Q2	0.056395349	metro	6/30/2016	pc
"Corpus Christi, TX"	2015.II	186.2	metro	6/30/2015	level
"Corpus Christi, TX"	2015.III	184.9	metro	9/30/2015	level
"Corpus Christi, TX"	2015.IV	178.6	metro	12/31/2015	level
"Corpus Christi, TX"	2016.I	177.1	metro	3/30/2016	level
"Corpus Christi, TX"	2016.II	190.1	metro	6/30/2016	level
"Corpus Christi, TX"	Q2-Q2	0.02094522	metro	6/30/2016	pc
"Crestview-Fort Walton Beach-Destin, FL"	2015.II	231.9	metro	6/30/2015	level
"Crestview-Fort Walton Beach-Destin, FL"	2015.III	248	metro	9/30/2015	level
"Crestview-Fort Walton Beach-Destin, FL"	2015.IV	230	metro	12/31/2015	level
"Crestview-Fort Walton Beach-Destin, FL"	2016.I	238.857	metro	3/30/2016	level
"Crestview-Fort Walton Beach-Destin, FL"	2016.II	255.2	metro	6/30/2016	level
"Crestview-Fort Walton Beach-Destin, FL"	Q2-Q2	0.100474342	metro	6/30/2016	pc
"Cumberland, MD-WV"	2015.II	82.4	metro	6/30/2015	level
"Cumberland, MD-WV"	2015.III	82.4	metro	9/30/2015	level
"Cumberland, MD-WV"	2015.IV	86.1	metro	12/31/2015	level
"Cumberland, MD-WV"	2016.I	67.4	metro	3/30/2016	level
"Cumberland, MD-WV"	2016.II	94.9	metro	6/30/2016	level
"Cumberland, MD-WV"	Q2-Q2	0.151699029	metro	6/30/2016	pc
"Dallas-Fort Worth-Arlington, TX"	2015.II	215.2	metro	6/30/2015	level
"Dallas-Fort Worth-Arlington, TX"	2015.III	210	metro	9/30/2015	level
"Dallas-Fort Worth-Arlington, TX"	2015.IV	206.2	metro	12/31/2015	level
"Dallas-Fort Worth-Arlington, TX"	2016.I	210.1	metro	3/30/2016	level
"Dallas-Fort Worth-Arlington, TX"	2016.II	232.2	metro	6/30/2016	level
"Dallas-Fort Worth-Arlington, TX"	Q2-Q2	0.078996283	metro	6/30/2016	pc
"Davenport-Moline-Rock Island, IA-IL"	2015.II	123.6	metro	6/30/2015	level
"Davenport-Moline-Rock Island, IA-IL"	2015.III	126.2	metro	9/30/2015	level
"Davenport-Moline-Rock Island, IA-IL"	2015.IV	121.7	metro	12/31/2015	level
"Davenport-Moline-Rock Island, IA-IL"	2016.I	114.2	metro	3/30/2016	level
"Davenport-Moline-Rock Island, IA-IL"	2016.II	125.5	metro	6/30/2016	level
"Davenport-Moline-Rock Island, IA-IL"	Q2-Q2	0.015372168	metro	6/30/2016	pc
"Dayton, OH"	2015.II	125.1	metro	6/30/2015	level
"Dayton, OH"	2015.III	129.8	metro	9/30/2015	level
"Dayton, OH"	2015.IV	116.7	metro	12/31/2015	level
"Dayton, OH"	2016.I	119.1	metro	3/30/2016	level
"Dayton, OH"	2016.II	138.8	metro	6/30/2016	level
"Dayton, OH"	Q2-Q2	0.10951239	metro	6/30/2016	pc
"Decatur, AL"	2015.II	122.6	metro	6/30/2015	level
"Decatur, AL"	2015.III	122.6	metro	9/30/2015	level
"Decatur, AL"	2015.IV	122.2	metro	12/31/2015	level
"Decatur, AL"	2016.I	123	metro	3/30/2016	level
"Decatur, AL"	2016.II	129.6	metro	6/30/2016	level
"Decatur, AL"	Q2-Q2	0.057096248	metro	6/30/2016	pc
"Decatur, IL"	2015.II	96	metro	6/30/2015	level
"Decatur, IL"	2015.III	101.4	metro	9/30/2015	level
"Decatur, IL"	2015.IV	90	metro	12/31/2015	level
"Decatur, IL"	2016.I	83.3	metro	3/30/2016	level
"Decatur, IL"	2016.II	95.6	metro	6/30/2016	level
"Decatur, IL"	Q2-Q2	-0.004166667	metro	6/30/2016	pc
"Deltona-Daytona Beach-Ormond Beach, FL"	2015.II	150	metro	6/30/2015	level
"Deltona-Daytona Beach-Ormond Beach, FL"	2015.III	155	metro	9/30/2015	level
"Deltona-Daytona Beach-Ormond Beach, FL"	2015.IV	156	metro	12/31/2015	level
"Deltona-Daytona Beach-Ormond Beach, FL"	2016.I	173.25	metro	3/30/2016	level
"Deltona-Daytona Beach-Ormond Beach, FL"	2016.II	172	metro	6/30/2016	level
"Deltona-Daytona Beach-Ormond Beach, FL"	Q2-Q2	0.146666667	metro	6/30/2016	pc
"Denver-Aurora-Lakewood, CO"	2015.II	362.9	metro	6/30/2015	level
"Denver-Aurora-Lakewood, CO"	2015.III	353	metro	9/30/2015	level
"Denver-Aurora-Lakewood, CO"	2015.IV	353.5	metro	12/31/2015	level
"Denver-Aurora-Lakewood, CO"	2016.I	369	metro	3/30/2016	level
"Denver-Aurora-Lakewood, CO"	2016.II	394.4	metro	6/30/2016	level
"Denver-Aurora-Lakewood, CO"	Q2-Q2	0.086800772	metro	6/30/2016	pc
"Des Moines-West Des Moines, IA"	2015.II	184	metro	6/30/2015	level
"Des Moines-West Des Moines, IA"	2015.III	184	metro	9/30/2015	level
"Des Moines-West Des Moines, IA"	2015.IV	186.7	metro	12/31/2015	level
"Des Moines-West Des Moines, IA"	2016.I	170	metro	3/30/2016	level
"Des Moines-West Des Moines, IA"	2016.II	187.9	metro	6/30/2016	level
"Des Moines-West Des Moines, IA"	Q2-Q2	0.021195652	metro	6/30/2016	pc
"Detroit-Warren-Deaborn, MI"	2015.II	N/A	metro	6/30/2015	level
"Detroit-Warren-Deaborn, MI"	2015.III	N/A	metro	9/30/2015	level
"Detroit-Warren-Deaborn, MI"	2015.IV	N/A	metro	12/31/2015	level
"Detroit-Warren-Deaborn, MI"	2016.I	N/A	metro	3/30/2016	level
"Detroit-Warren-Deaborn, MI"	2016.II	N/A	metro	6/30/2016	level
"Detroit-Warren-Deaborn, MI"	Q2-Q2	N/A	metro	6/30/2016	pc
"Dover, DE"	2015.II	190.8	metro	6/30/2015	level
"Dover, DE"	2015.III	194.5	metro	9/30/2015	level
"Dover, DE"	2015.IV	193.2	metro	12/31/2015	level
"Dover, DE"	2016.I	191.5	metro	3/30/2016	level
"Dover, DE"	2016.II	204	metro	6/30/2016	level
"Dover, DE"	Q2-Q2	0.06918239	metro	6/30/2016	pc
"Durham-Chapel Hill, NC"	2015.II	233.7	metro	6/30/2015	level
"Durham-Chapel Hill, NC"	2015.III	222.8	metro	9/30/2015	level
"Durham-Chapel Hill, NC"	2015.IV	223.1	metro	12/31/2015	level
"Durham-Chapel Hill, NC"	2016.I	224.8	metro	3/30/2016	level
"Durham-Chapel Hill, NC"	2016.II	245.7	metro	6/30/2016	level
"Durham-Chapel Hill, NC"	Q2-Q2	0.051347882	metro	6/30/2016	pc
"Elmira, NY"	2015.II	98.3	metro	6/30/2015	level
"Elmira, NY"	2015.III	108.8	metro	9/30/2015	level
"Elmira, NY"	2015.IV	108.5	metro	12/31/2015	level
"Elmira, NY"	2016.I	105.3	metro	3/30/2016	level
"Elmira, NY"	2016.II	115.6	metro	6/30/2016	level
"Elmira, NY"	Q2-Q2	0.175991862	metro	6/30/2016	pc
"El Paso, TX"	2015.II	142.2	metro	6/30/2015	level
"El Paso, TX"	2015.III	144.2	metro	9/30/2015	level
